FIPS,Confirmed
01001,5502
01003,18885
01005,2020
01007,2167
01009,4095
01011,751
01013,1629
01015,9826
01017,2625
01019,1867
01021,3909
01023,1070
01025,2357
01027,1559
01029,960
01031,4397
01033,7134
01035,984
01037,1111
01039,2526
01041,1226
01043,8532
01045,4071
01047,3157
01049,5575
01051,7628
01053,3135
01055,8585
01057,1641
01059,3533
01061,1929
01063,595
01065,1648
01067,1461
01069,8413
01071,4735
01073,68765
01075,1241
01077,9156
01079,2797
01081,12343
01083,9052
01085,842
01087,1464
01089,37358
01091,1874
01093,2876
01095,8533
01097,37872
01099,1901
01101,20332
01103,13573
80001,0
01105,721
01107,1937
01109,2316
01111,1575
01113,3093
01117,22639
01115,8609
01119,1222
01121,8057
01123,4033
01125,21484
90001,0
01127,6641
01129,1240
01131,1115
01133,2827
02013,696
02016,852
02020,48463
02050,3858
02060,0
02164,462
02063,876
02066,389
02068,601
02070,989
02090,12190
02100,444
02110,5720
02122,7202
02130,2365
02150,2482
02158,1848
02170,11487
02180,3954
02185,1812
02188,2568
02195,300
02198,960
02220,1574
02230,289
02240,747
90002,576
02261,0
02275,429
02282,406
02290,707
60,6403
04001,7396
04003,13078
04005,18056
04007,5669
04009,3308
04011,774
04012,1743
04013,468144
04015,20547
04017,12941
80004,0
04019,95862
04021,48823
04023,6555
90004,-1
04025,14148
04027,18816
05001,2172
05003,1886
05005,2548
05007,22167
05009,2770
05011,1002
05013,361
05015,1713
05017,715
05019,1853
05021,1294
05023,2309
05025,804
05027,1939
05029,2077
05031,13248
05033,4702
05035,4732
05037,1792
05039,626
05041,1081
05043,1678
05045,14128
05047,984
05049,709
05051,7128
05053,1496
05055,5326
05057,1493
05059,3257
05061,1109
05063,3473
05065,1077
05067,1488
05069,6050
05071,2067
05073,412
05075,1760
05077,660
05079,1066
05081,1111
05083,1334
05085,7156
05087,1215
05089,964
05091,2844
05093,4412
05095,723
05097,357
05099,736
05101,404
05103,1860
05105,874
05107,1433
05109,816
05111,2625
05113,1098
05115,5742
05117,644
05119,41887
05121,1612
05125,11376
05127,516
05129,739
05131,9341
05133,1857
05135,1463
05123,2253
05137,994
90005,20613
05139,2907
05141,1107
05143,22717
05145,8108
05147,588
05149,1936
06001,185139
06003,17
06005,3970
06007,16617
06009,3480
06011,1303
06013,123997
06015,2897
06017,13707
06019,109024
06021,2168
06023,12087
06025,28098
06027,2157
06029,94509
06031,21271
06033,5297
06035,2656
06037,1415782
06039,18791
06041,23617
06043,1946
06045,8986
06047,28407
06049,244
06051,1138
06053,48767
06055,15848
06057,8214
06059,290709
80006,0
06061,32271
06063,1619
06065,243967
06067,164270
06069,6475
06071,227598
06073,438110
06075,100261
06077,78664
06079,29507
06081,95775
06083,48858
06085,227263
06087,33952
06089,11658
06091,114
06093,2890
06095,49040
06097,54353
06099,50029
06101,8994
06103,4763
06105,497
06107,53249
06109,6342
90006,2957
06111,86507
06113,22806
06115,7281
08001,53632
08003,1863
08005,70042
08007,997
08009,300
08011,668
08013,37190
08014,6883
08015,2178
08017,79
08019,729
08021,762
08023,341
08025,897
08027,224
08029,1700
08031,78564
08033,87
08035,37021
08037,5548
08041,80459
08039,1858
08043,5661
08045,6218
08047,444
08049,1177
08051,1434
08053,68
08055,598
08057,47
08059,58060
08061,63
08063,407
08067,6110
08065,714
08069,40204
08071,1388
08073,831
08075,2365
08077,14801
08079,108
08081,940
08083,2255
08085,2901
08087,1737
08089,1194
08091,358
80008,0
08093,1151
08095,292
08097,3131
08099,680
08101,19748
08103,523
08105,1091
08107,2687
08109,440
08111,131
08113,817
08115,139
08117,3700
08119,1713
90008,20
08121,316
08123,34697
08125,545
09001,86537
09003,75699
09005,12960
09007,13889
09009,83357
09011,25780
09013,9003
90009,758
09015,10092
10001,20626
10003,57343
10005,22616
90010,268
88888,0
11001,62271
12001,30074
12003,2738
12005,14499
12007,2233
12009,57244
12011,220442
12013,1099
12015,14208
12017,10427
12019,20468
12021,27557
12023,6270
12027,2703
12029,1107
12031,91190
12033,23793
12035,8604
12037,895
12039,4514
12041,1452
12043,555
12045,1379
12047,1079
12049,2609
12051,3658
12053,14741
12055,8354
12057,134963
12059,1624
12061,12120
12063,4772
12065,1451
12067,572
12069,31969
12071,67344
12073,34049
12075,3335
12077,666
12079,2206
12081,33292
12083,27889
12085,10625
12086,456037
12087,7078
12089,7297
12091,17494
12093,3217
12095,147732
12097,41415
12099,134200
12101,46856
12103,82701
12105,74033
12107,5139
12113,16323
12115,38502
12117,41306
12109,22683
12111,27396
12119,8515
12121,3781
12123,2366
90012,80341
12125,1232
12127,43002
12129,3495
12131,4637
12133,2066
13001,1253
13003,602
13005,1080
13007,160
13009,2672
13011,1088
13013,6313
13015,7403
13017,1077
13019,1433
13021,11430
13023,995
13025,1062
13027,978
13029,3058
