FIPS,Deaths
01001,56
01003,90
01005,18
01007,10
01009,46
01011,8
01013,27
01015,96
01017,15
01019,21
01021,34
01023,7
01025,13
01027,13
01029,9
01031,36
01033,48
01035,8
01037,10
01039,32
01041,21
01043,57
01045,37
01047,32
01049,52
01051,50
01053,23
01055,125
01057,10
01059,28
01061,27
01063,4
01065,15
01067,10
01069,74
01071,40
01073,353
01075,6
01077,79
01079,24
01081,72
01083,66
01085,9
01087,16
01089,207
01091,15
01093,20
01095,74
01097,263
01099,14
01101,157
01103,93
80001,0
01105,6
01107,12
01109,23
01111,8
01113,28
01117,72
01115,51
01119,10
01121,70
01123,30
01125,133
90001,0
01127,59
01129,8
01131,8
01133,21
02013,0
02016,0
02020,119
02050,9
02060,0
02164,0
02063,2
02066,6
02068,0
02070,2
02090,25
02100,0
02110,6
02122,27
02130,8
02150,2
02158,5
02170,71
02180,2
02185,4
02188,5
02195,3
02198,2
02220,0
02230,0
02240,6
90002,-1
02261,0
02275,0
02282,2
02290,2
60,31
04001,72
04003,107
04005,62
04007,75
04009,20
04011,6
04012,35
04013,3627
04015,276
04017,160
80004,0
04019,682
04021,349
04023,26
90004,0
04025,250
04027,198
05001,13
05003,11
05005,49
05007,168
05009,40
05011,8
05013,1
05015,23
05017,11
05019,15
05021,17
05023,28
05025,3
05027,20
05029,17
05031,76
05033,57
05035,37
05037,13
05039,12
05041,5
05043,13
05045,80
05047,14
05049,15
05051,83
05053,10
05055,38
05057,21
05059,21
05061,13
05063,43
05065,12
05067,17
05069,42
05071,24
05073,3
05075,18
05077,4
05079,10
05081,21
05083,23
05085,65
05087,19
05089,18
05091,29
05093,52
05095,10
05097,3
05099,3
05101,5
05103,15
05105,12
05107,15
05109,5
05111,21
05113,20
05115,46
05117,10
05119,210
05121,21
05125,83
05127,9
05129,17
05131,109
05133,12
05135,30
05123,23
05137,19
90005,0
05139,27
05141,17
05143,118
05145,86
05147,7
05149,19
06001,324
06003,0
06005,17
06007,86
06009,27
06011,0
06013,237
06015,8
06017,42
06019,386
06021,9
06023,25
06025,138
06027,7
06029,531
06031,61
06033,20
06035,10
06037,4496
06039,57
06041,44
06043,17
06045,22
06047,130
06049,2
06051,2
06053,94
06055,36
06057,17
06059,1144
80006,0
06061,139
06063,1
06065,979
06067,635
06069,16
06071,1590
06073,823
06075,197
06077,339
06079,117
06081,122
06083,125
06085,348
06087,35
06089,162
06091,4
06093,20
06095,73
06097,75
06099,218
06101,34
06103,65
06105,3
06107,330
06109,98
90006,-3
06111,295
06113,50
06115,23
08001,277
08003,6
08005,219
08007,7
08009,7
08011,5
08013,74
08014,19
08015,10
08017,1
08019,5
08021,8
08023,5
08025,4
08027,7
08029,16
08031,264
08033,2
08035,84
08037,3
08041,300
08039,9
08043,28
08045,13
08047,1
08049,7
08051,1
08053,0
08055,8
08057,0
08059,255
08061,2
08063,8
08067,20
08065,0
08069,104
08071,10
08073,1
08075,12
08077,100
08079,1
08081,4
08083,27
08085,17
08087,12
08089,14
08091,0
80008,0
08093,6
08095,4
08097,1
08099,8
08101,137
08103,2
08105,6
08107,1
08109,2
08111,0
08113,1
08115,4
08117,2
08119,7
90008,0
08121,3
08123,116
08125,1
09001,381
09003,466
09005,91
09007,69
09009,505
09011,146
09013,66
90009,-1
09015,58
10001,162
10003,321
10005,187
90010,0
88888,0
11001,131
12001,386
12003,80
12005,436
12007,92
12009,1204
12011,2805
12013,53
12015,382
12017,519
12019,506
12021,454
12023,233
12027,54
12029,47
12031,1938
12033,609
12035,245
12037,32
12039,108
12041,50
12043,17
12045,34
12047,31
12049,80
12051,73
12053,619
12055,326
12057,1980
12059,39
12061,353
12063,123
12065,33
12067,35
12069,848
12071,1167
12073,334
12075,114
12077,14
12079,52
12081,753
12083,1123
12085,287
12086,4499
12087,67
12089,169
12091,322
12093,94
12095,1538
12097,623
12099,2204
12101,1116
12103,1706
12105,1627
12107,264
12113,330
12115,788
12117,586
12109,347
12111,573
12119,297
12121,176
12123,53
90012,-25450
12125,41
12127,1152
12129,70
12131,125
12133,61
13001,20
13003,11
13005,14
13007,1
13009,37
13011,23
13013,51
13015,72
13017,11
13019,11
13021,117
13023,14
13025,20
13027,12
13029,16
13031,39
13033,24
13035,33
13037,0
13039,21
13043,6
13045,91
13047,45
13049,4
13051,151
13053,1
13055,24
13057,139
13059,46
13061,2
13063,181
13065,6
13067,366
13069,33
13071,42
13073,66
13075,10
13077,90
13079,8
13081,18
13083,7
13085,21
13089,337
13087,21
13091,18
13093,7
13095,69
13097,94
13099,4
13101,1
13103,21
13105,16
13107,17
13109,10
13111,43
13113,69
13115,108
13117,96
13119,19
13121,462
13123,37
13125,4
13127,60
13129,62
13131,20
13133,11
13135,312
13137,43
13139,148
13141,7
13143,44
13145,17
13147,25
13149,11
13151,151
13153,75
13155,9
13157,56
13159,13
13161,10
13163,19
13165,3
13167,9
13169,10
13171,12
13173,7
13175,40
13177,18
13179,14
13181,2
13183,6
13185,63
13187,21
13193,4
13195,25
13197,10
13189,20
13191,4
13199,24
13201,6
13205,15
13207,20
13209,8
13211,18
13213,39
13215,149
13217,84
13219,24
13221,14
80013,324
13223,80
13225,20
13227,44
13229,23
13231,24
13233,30
13235,10
13237,17
13239,0
13241,21
13243,4
13245,134
13247,60
13249,3
13251,8
13253,4
13255,80
13257,35
13259,5
13261,25
13263,2
13265,0
13267,14
13269,12
13271,10
13273,10
13275,25
13277,30
13279,25
13281,28
13283,6
13285,53
13287,11
13289,8
90013,-2
13291,27
13293,44
13295,72
13297,74
13299,30
13301,4
13303,11
13305,24
13307,1
13309,3
13311,29
13313,77
13315,9
13317,14
13319,11
13321,23
99999,0
66,93
15001,41
15003,271
15007,11
15009,33
80015,1
90015,0
16001,158
16003,1
16005,33
16007,1
16009,11
16011,19
16013,3
16015,3
16017,42
16019,40
16021,12
16023,2
16025,1
16027,81
16029,3
16031,7
16033,1
16035,5
16037,3
16039,17
16041,2
16043,9
16045,7
16047,11
16049,10
16051,12
16053,8
16055,104
16057,8
16059,2
16061,6
16063,1
16065,8
16067,11
16069,34
16071,1
16073,11
16075,13
16077,3
16079,9
16081,1
16083,51
90016,0
16085,3
16087,10
17001,41
17003,2
17005,3
17007,28
17009,2
17011,20
17013,1
17015,7
17017,4
17019,65
17021,24
17023,6
17025,12
17027,5
17029,27
17031,2436
17033,10
17035,7
17039,7
17037,43
17041,17
17043,282
17045,7
17047,7
17049,26
17051,28
17053,8
17055,36
17057,34
17059,7
17061,6
17063,35
17065,6
17067,12
17069,4
17071,4
17073,26
17075,27
17077,20
17079,10
17081,25
17083,15
17085,4
17087,6
17089,184
17091,75
17093,35
17095,31
17099,66
17097,257
17101,5
17103,10
17105,21
17107,9
17115,71
17117,21
17119,144
17121,46
17123,7
17125,7
17127,10
17109,21
17111,118
17113,54
17129,6
17131,9
17133,21
17135,20
17137,21
17139,5
17141,18
80017,0
17143,106
17145,15
17147,7
17149,9
17151,1
17153,5
17155,2
17157,20
17159,7
17161,78
17165,22
17167,83
17169,3
17171,4
17173,21
17163,95
17175,4
17177,33
17179,90
90017,1125
17181,13
17183,56
17185,9
17187,12
17189,5
17191,18
17193,15
17195,30
17197,306
17199,51
17201,165
17203,14
18001,19
18003,235
18005,49
18007,1
18009,20
18011,56
18013,11
18015,25
18017,26
18019,97
18021,22
18023,41
18025,10
18027,32
18033,31
18029,33
18031,35
18035,110
18037,17
18039,147
18041,36
18043,64
18045,32
18047,18
18049,19
18051,23
18053,83
18055,32
18057,155
18059,64
18061,33
18063,135
18065,49
18067,102
18069,34
18071,33
18073,44
18075,21
18077,48
18079,39
18081,127
18083,34
18085,57
18087,10
18091,88
18089,491
18093,58
18095,160
18097,638
18099,40
18101,5
18103,36
18105,50
18107,33
18109,79
18111,12
18113,22
18115,4
18117,19
18119,37
18121,15
18123,15
18125,5
18127,139
18129,12
18131,17
18133,39
18135,30
18137,38
18139,22
18143,24
18145,38
18147,7
18141,175
18149,20
18151,25
18153,18
18155,6
18157,96
18159,19
90018,-621
18161,3
18163,131
18165,15
18167,88
18169,27
18171,10
18173,34
18175,25
18177,54
18179,14
18181,24
18183,18
19001,6
19003,3
19005,3
19007,9
19009,2
19011,14
19013,84
19015,11
19017,8
19019,14
19021,9
19023,5
19025,5
19027,9
19029,6
19031,8
19033,33
19035,12
19037,8
19039,6
19041,6
19043,9
19045,25
19047,5
19049,25
19051,7
19053,9
19055,7
19057,29
19059,12
19061,35
19063,5
19065,18
