FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed,Population,Land_area,Population Density
41043,Linn County,OR,64.8,100853.0,17,7215,128610,2290.13,56.15838402186776
42053,Forest County,PA,78.0,6468.0,3,280,6973,427.19,16.322947634542007
51760,Richmond city,VA,48.6,190750.0,11,12045,226610,59.81,3788.831299113861
19167,Sioux County,IA,53.1,25468.0,2,1132,35872,768.33,46.68827196647274
06043,Mariposa County,CA,0.0,14425.0,1,927,17131,1448.82,11.82410513383305
20079,Harvey County,KS,54.3,26160.0,12,2620,34024,539.75,63.0365910143585
06009,Calaveras County,CA,60.7,38077.0,3,2247,45292,1020.01,44.40348624033098
51097,King and Queen County,VA,57.3,5795.0,1,312,6608,315.14,20.968458462905375
39001,Adams County,OH,42.4,21111.0,13,1538,27477,583.87,47.06013324883964
51031,Campbell County,VA,47.1,44243.0,12,1826,55696,503.87,110.5364478933058
37093,Hoke County,NC,47.9,40282.0,5,5389,52082,390.74,133.29067922403644
39035,Cuyahoga County,OH,72.3,980955.0,466,35232,1264817,457.19,2766.501891992388
20135,Ness County,KS,60.3,2181.0,1,177,2687,1074.75,2.5001163061177016
19001,Adair County,IA,57.5,5593.0,2,154,7496,569.27,13.167741142164529
54109,Wyoming County,WV,60.6,16232.0,7,1786,21382,499.45,42.811092201421566
29123,Madison County,MO,47.6,9307.0,5,711,12626,494.39,25.53854244624689
56037,Sweetwater County,WY,59.7,31375.0,8,1970,42272,10426.65,4.054226429390073
19011,Benton County,IA,68.2,19698.0,7,1004,25575,716.27,35.70580926187053
06027,Inyo County,CA,0.0,14312.0,1,1563,19016,10180.88,1.8678149629501577
22017,Caddo Parish,LA,57.2,183879.0,38,20328,237848,878.54,270.73098549866825
48019,Bandera County,TX,56.1,19305.0,5,612,20851,790.96,26.361636492363708
45043,Georgetown County,SC,61.0,51441.0,10,3893,63404,813.55,77.93497633827054
18161,Union County,IN,58.3,5588.0,2,486,7087,161.22,43.95856593474755
22035,East Carroll Parish,LA,54.5,5223.0,2,554,7459,420.7,17.729973853101974
32021,Mineral County,NV,66.6,3620.0,1,245,4554,3752.84,1.2134809903966062
13189,McDuffie County,GA,55.2,16012.0,5,992,21632,257.46,84.02081876796396
21195,Pike County,KY,60.7,45924.0,12,3177,58669,786.83,74.56375583035725
13093,Dooly County,GA,41.0,11188.0,1,526,11208,391.94,28.59621370617952
12105,Polk County,FL,65.6,565542.0,1197,46018,725046,1797.84,403.28727806701374
37051,Cumberland County,NC,71.4,252655.0,6,23102,334728,652.32,513.1346578366446
48301,Loving County,TX,0.0,120.0,0,92,64,668.93,0.0956751827545483
37009,Ashe County,NC,59.3,22479.0,9,1419,26577,426.14,62.36682780306941
28027,Coahoma County,MS,61.9,16155.0,4,1397,21390,552.44,38.7191369198465
26045,Eaton County,MI,65.0,87545.0,23,6670,109175,575.18,189.81014638895653
42085,Mercer County,PA,60.5,88425.0,30,4227,110652,672.58,164.51871896279997
48051,Burleson County,TX,58.8,14427.0,1,916,17642,659.03,26.76964629834757
48345,Motley County,TX,35.2,963.0,2,32,1063,989.56,1.074214802538502
18145,Shelby County,IN,67.8,34623.0,9,3389,45055,411.15,109.582877295391
55115,Shawano County,WI,61.6,32167.0,14,2461,40881,893.06,45.7763196201823
47057,Grainger County,TN,57.7,18657.0,7,1339,23527,280.6,83.84533143264433
05117,Prairie County,AR,50.3,6412.0,2,490,8282,647.96,12.781653188468423
16085,Valley County,ID,68.1,9310.0,1,614,11746,3664.52,3.2053311211290976
42129,Westmoreland County,PA,64.1,285329.0,120,15718,354663,1027.55,345.1540071042772
21161,Mason County,KY,60.3,13123.0,10,1120,17120,240.13,71.29471536251198
17169,Schuyler County,IL,63.8,5535.0,2,585,6902,437.27,15.78429803096485
16035,Clearwater County,ID,47.3,7374.0,1,350,8734,2457.27,3.5543509667232334
42051,Fayette County,PA,64.9,104556.0,47,5642,128804,790.34,162.97289774021306
31141,Platte County,NE,57.5,24653.0,0,1543,34296,674.06,50.879743642999145
39161,Van Wert County,OH,52.4,21715.0,15,1198,28931,409.16,70.7082803793137
41033,Josephine County,OR,57.8,70421.0,30,3454,88090,1639.67,53.72422499649319
21009,Barren County,KY,54.0,33861.0,13,2259,44485,487.54,91.24379538089184
13053,Chattahoochee County,GA,95.0,8447.0,0,389,9565,248.74,38.45380718822867
13025,Brantley County,GA,31.8,14683.0,6,606,18021,442.36,40.73831268649968
26105,Mason County,MI,69.8,23240.0,12,1333,29052,495.07,58.68261053992365
20209,Wyandotte County,KS,65.9,119705.0,38,12884,169245,151.6,1116.391820580475
48493,Wilson County,TX,62.3,38908.0,7,2032,49753,803.73,61.902628992323294
17079,Jasper County,IL,51.5,7381.0,3,607,9287,494.51,18.780206669228125
39169,Wayne County,OH,54.5,87730.0,59,4506,116894,554.93,210.64638783269965
29083,Henry County,MO,53.8,17065.0,2,1326,21946,696.95,31.488629026472484
28079,Leake County,MS,57.3,16984.0,4,1341,21275,583.0,36.492281303602056
27121,Pope County,MN,65.3,8885.0,1,375,11308,669.71,16.884920338654045
38095,Towner County,ND,54.6,1715.0,0,114,2162,1024.56,2.1101741235261966
39147,Seneca County,OH,57.4,43203.0,15,2422,55069,551.02,99.94011106674894
20165,Rush County,KS,59.6,2418.0,1,166,2956,717.76,4.11836825679893
24025,Harford County,MD,77.4,198836.0,117,9323,260924,437.09,596.9571484133703
21237,Wolfe County,KY,62.7,5505.0,3,415,6562,222.17,29.53594094612234
29173,Ralls County,MO,33.6,8135.0,0,457,10355,469.78,22.0422325343778
21225,Union County,KY,47.5,11777.0,6,1007,13668,342.85,39.86583053813621
55027,Dodge County,WI,58.7,70666.0,13,5444,89396,875.63,102.0933499309069
13253,Seminole County,GA,53.2,6406.0,1,467,9147,235.23,38.885346256854994
12033,Escambia County,FL,64.7,252085.0,421,15811,321905,656.46,490.3649879657557
12065,Jefferson County,FL,66.9,11888.0,8,959,14510,598.1,24.260157164353785
01063,Greene County,AL,58.6,6343.0,2,364,7730,647.11,11.945418862326344
51133,Northumberland County,VA,60.6,10340.0,0,611,11839,191.3,61.88708834291688
22003,Allen Parish,LA,43.5,19893.0,1,2459,22750,761.85,29.86152129684321
48427,Starr County,TX,89.7,43537.0,3,3788,65920,1223.18,53.89231347798361
16075,Payette County,ID,40.4,17756.0,3,519,25386,406.87,62.39339346720082
29009,Barry County,MO,52.8,27651.0,4,1323,34534,778.25,44.37391583681336
46097,Miner County,SD,66.2,1684.0,0,63,2298,570.31,4.029387526082306
29067,Douglas County,MO,29.3,10276.0,2,421,11578,813.63,14.230055430601134
49011,Davis County,UT,77.6,242674.0,31,29580,362679,298.78,1213.866389985943
17091,Kankakee County,IL,60.0,85161.0,53,5326,107502,676.56,158.8949982263214
27151,Swift County,MN,67.1,7112.0,2,242,9838,742.08,13.257330746011212
17153,Pulaski County,IL,49.3,4199.0,1,442,5193,199.19,26.07058587278478
18183,Whitley County,IN,56.9,26175.0,4,2057,34191,335.57,101.8893226450517
53003,Asotin County,WA,47.8,18058.0,3,818,22285,636.21,35.02774241209664
24045,Wicomico County,MD,63.4,80899.0,44,5183,103588,374.44,276.6477940390984
