FIPS,Confirmed
01001,6407
01003,21845
01005,2416
01007,2397
01009,4691
01011,933
01013,1922
01015,10991
01017,3178
01019,2122
01021,4323
01023,1116
01025,2706
01027,1750
01029,1073
01031,5081
01033,8030
01035,1165
01037,1280
01039,3048
01041,1377
01043,9790
01045,4867
01047,3893
01049,6265
01051,9124
01053,3653
01055,9512
01057,1779
01059,3754
01061,2213
01063,670
01065,1847
01067,1719
01069,9707
01071,5271
01073,78252
01075,1423
01077,10205
01079,3107
01081,14325
01083,10240
01085,1006
01087,1767
01089,41858
01091,2076
01093,3194
01095,9407
01097,42896
01099,2227
01101,24548
01103,15537
80001,0
01105,837
01107,2086
01109,2654
01111,1823
01113,3735
01117,25208
01115,9895
01119,1329
01121,9249
01123,4687
01125,23634
90001,0
01127,7575
01129,1378
01131,1318
01133,3070
02013,731
02016,903
02020,52325
02050,4248
02060,0
02164,602
02063,1028
02066,461
02068,1063
02070,1063
02090,13355
02100,479
02110,6305
02122,8223
02130,2518
02150,2699
02158,1945
02170,12711
02180,4048
02185,2094
02188,2787
02195,321
02198,1036
02220,1768
02230,440
02240,824
90002,719
02261,0
02275,512
02282,496
02290,770
60,7460
04001,12783
04003,14400
04005,19904
04007,6329
04009,3692
04011,876
04012,1922
04013,506450
04015,22795
04017,15049
80004,0
04019,104967
04021,52916
04023,7189
90004,-1
04025,16326
04027,21124
05001,2426
05003,2107
05005,2986
05007,24120
05009,3100
05011,1125
05013,415
05015,1984
05017,796
05019,2069
05021,1453
05023,2746
05025,887
05027,2220
05029,2254
05031,14951
05033,5337
05035,5180
05037,1984
05039,678
05041,1248
05043,1837
05045,15640
05047,1147
05049,792
05051,7892
05053,1646
05055,5913
05057,1787
05059,3607
05061,1379
05063,3944
05065,1231
05067,1690
05069,7013
05071,2399
05073,459
05075,1988
05077,735
05079,1168
05081,1245
05083,1521
05085,8123
05087,1371
05089,1093
05091,3338
05093,4884
05095,830
05097,446
05099,877
05101,469
05103,2181
05105,975
05107,1634
05109,868
05111,2963
05113,1205
05115,6399
05117,718
05119,47416
05121,1823
05125,12741
05127,712
05129,822
05131,11029
05133,2071
05135,1700
05123,2507
05137,1144
90005,21890
05139,3438
05141,1266
05143,25061
05145,9036
05147,688
05149,2093
06001,207014
06003,18
06005,4397
06007,18479
06009,3839
06011,1464
06013,138765
06015,3647
06017,15257
06019,123308
06021,2349
06023,13404
06025,33502
06027,2398
06029,105795
06031,23836
06033,5829
06035,2892
06037,1582935
06039,21168
06041,26088
06043,2143
06045,9906
06047,31677
06049,337
06051,1237
06053,54090
06055,17272
06057,9053
06059,329024
80006,0
06061,35604
06063,1847
06065,276488
06067,180299
06069,7480
06071,258022
06073,490981
06075,112200
06077,87165
06079,32652
06081,106118
06083,54038
06085,255148
06087,37704
06089,13228
06091,125
06093,3211
06095,55082
06097,59203
06099,55921
06101,10012
06103,5372
06105,622
06107,59757
06109,7296
90006,3462
06111,97117
06113,26049
06115,8155
08001,58832
08003,2063
08005,77026
08007,1090
08009,316
08011,730
08013,40924
08014,7629
08015,2357
08017,90
08019,794
08021,864
08023,390
08025,929
08027,262
08029,1861
08031,86243
