FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed,Population,Land_area,Population Density
37191,Wayne County,NC,60.9,94031.0,82,16331,117333,553.09,212.14088123090272
02180,Nome Census Area,AK,85.6,6544.0,2,4048,10046,22961.76,0.4375100166537757
01003,Baldwin County,AL,61.8,175680.0,94,21845,231767,1589.78,145.7855803947716
06077,San Joaquin County,CA,72.2,557577.0,365,87165,779233,1391.32,560.0674179915476
30097,Sweet Grass County,MT,49.0,2972.0,5,214,3678,1855.21,1.9825248893656244
33015,Rockingham County,NH,76.8,250662.0,168,31401,314176,694.72,452.2339935513588
18165,Vermillion County,IN,58.2,12088.0,19,1334,15439,256.88,60.101993148551855
12083,Marion County,FL,66.4,298065.0,1147,31968,375908,1584.55,237.23328389763657
28099,Neshoba County,MS,51.5,21050.0,31,4314,29087,570.14,51.01729399796541
40021,Cherokee County,OK,57.3,38112.0,29,5918,47078,749.41,62.820085133638464
26151,Sanilac County,MI,52.2,32362.0,36,2440,40611,962.57,42.19017837663754
47187,Williamson County,TN,79.4,174480.0,92,22369,247726,582.6,425.20768966701
46013,Brown County,SD,69.1,29634.0,15,3097,38301,1712.98,22.359280318509263
19163,Scott County,IA,72.4,132169.0,95,13737,174669,458.09,381.2984348053876
34019,Hunterdon County,NJ,81.3,100659.0,80,12452,128947,427.82,301.404796409705
39145,Scioto County,OH,60.9,59037.0,52,8835,74008,610.21,121.28283705609545
20059,Franklin County,KS,63.1,19502.0,27,2595,25996,571.76,45.46662935497412
51141,Patrick County,VA,47.0,14558.0,25,1486,17608,483.1,36.44794038501345
51770,Roanoke city,VA,50.2,77060.0,109,9637,100011,42.56,2349.8825187969924
33013,Merrimack County,NH,78.8,122788.0,76,14718,153808,934.12,164.655504646084
01105,Perry County,AL,57.6,7056.0,6,837,8511,719.66,11.826418030736738
18143,Scott County,IN,54.3,18508.0,27,2894,24384,190.4,128.0672268907563
55085,Oneida County,WI,75.2,29526.0,25,3127,37845,1112.97,34.00361195719561
31073,Gosper County,NE,48.7,1562.0,2,110,1893,458.16,4.131744368779465
31013,Box Butte County,NE,43.1,8045.0,9,566,10842,1075.29,10.082861367631056
21121,Knox County,KY,45.5,23951.0,46,4357,30193,386.3,78.15946155837432
28049,Hinds County,MS,68.9,176521.0,150,22970,227742,869.74,261.85066801572884
46079,Lake County,SD,59.2,10220.0,6,565,11059,563.28,19.633219713108936
37181,Vance County,NC,69.9,34092.0,22,5528,42578,253.52,167.94730198800883
05073,Lafayette County,AR,50.1,5401.0,2,459,6308,528.27,11.940863573551404
40015,Caddo County,OK,79.3,21606.0,35,3071,26945,1278.29,21.078941398274257
20199,Wallace County,KS,47.9,1146.0,3,112,1512,913.65,1.6549006731242817
13055,Chattooga County,GA,47.3,19248.0,26,2132,24965,313.34,79.67383672687816
36043,Herkimer County,NY,68.7,48793.0,37,5448,60139,1411.47,42.60735261819238
09013,Tolland County,CT,73.1,124818.0,77,9623,149788,410.21,365.14955754369714
48125,Dickens County,TX,41.2,1809.0,1,152,1770,901.72,1.9629153173934255
05091,Miller County,AR,40.8,33187.0,30,3338,42600,625.58,68.09680616387992
46097,Miner County,SD,68.3,1684.0,1,100,2298,570.31,4.029387526082306
47135,Perry County,TN,50.6,6283.0,15,753,8366,414.73,20.17216020061245
21017,Bourbon County,KY,68.5,15331.0,20,2790,20252,289.72,69.90197432003313
29019,Boone County,MO,70.5,143733.0,60,18698,183610,685.41,267.88345661720723
05061,Howard County,AR,70.7,9749.0,13,1379,12785,588.55,21.72287826013083
05033,Crawford County,AR,55.7,47861.0,61,5337,60133,593.09,101.38933382791818
05141,Van Buren County,AR,49.8,13327.0,17,1266,15796,708.14,22.30632360832604
21033,Caldwell County,KY,64.5,9890.0,10,1751,12649,344.79,36.68609878476754
31011,Boone County,NE,61.7,3989.0,1,250,5379,686.55,7.834826305440245
35029,Luna County,NM,89.9,17550.0,34,2438,25427,2965.19,8.575167189960846
53077,Yakima County,WA,78.3,176923.0,149,30428,256728,4295.4,59.76812403967035
20191,Sumner County,KS,54.6,17283.0,14,1929,22382,1181.94,18.936663451613448
02060,Bristol Bay Borough,AK,95.0,687.0,0,0,844,503.84,1.67513496348047
27027,Clay County,MN,71.0,48290.0,15,7959,65318,1045.37,62.48313994088218
48419,Shelby County,TX,47.1,18710.0,20,1517,24022,795.58,30.194323638100503
47045,Dyer County,TN,51.0,28334.0,48,5092,36801,512.33,71.8306560224855
17075,Iroquois County,IL,61.6,21252.0,30,2437,27077,1117.32,24.2338810725665
12113,Santa Rosa County,FL,64.3,144119.0,337,18605,188000,1011.61,185.8423700833325
34039,Union County,NJ,82.6,426483.0,325,60250,575345,102.86,5593.476570095275
42037,Columbia County,PA,70.5,53571.0,62,5664,64727,483.11,133.9798389600712
35017,Grant County,NM,79.2,21758.0,39,3725,28185,3961.63,7.114495800970812
40095,Marshall County,OK,55.3,13028.0,15,1896,15312,371.08,41.26333944162984
19195,Worth County,IA,61.9,5851.0,7,539,7443,400.12,18.60191942417275
45057,Lancaster County,SC,55.7,76927.0,36,9851,96016,549.16,174.84157622550805
17005,Bond County,IL,64.0,13292.0,3,1673,16725,380.28,43.98075102556012
19003,Adams County,IA,67.7,2848.0,3,209,3704,423.44,8.747402229359531
28089,Madison County,MS,76.1,79989.0,51,11086,109145,714.51,152.75503491903544
31101,Keith County,NE,44.9,6386.0,10,402,8335,1061.6,7.8513564431047485
01097,Mobile County,AL,61.3,316868.0,287,42896,414809,1229.44,337.396700937012
51670,Hopewell city,VA,40.4,16678.0,22,2550,23033,10.28,2240.5642023346304
31089,Holt County,NE,53.3,7520.0,4,642,10127,2412.4,4.197894213231637
48241,Jasper County,TX,46.0,27090.0,25,2404,32980,938.85,35.12808222825797
21061,Edmonson County,KY,39.7,9988.0,16,976,12126,302.88,40.03565768621236
47047,Fayette County,TN,66.1,33523.0,57,3857,41990,704.79,59.57803033527718
48157,Fort Bend County,TX,84.2,590029.0,153,98128,822779,861.48,955.0761480243302
36033,Franklin County,NY,79.1,40427.0,18,4206,47555,1629.12,29.190605971321943
29123,Madison County,MO,49.7,9307.0,17,1132,12626,494.39,25.53854244624689
37073,Gates County,NC,64.0,9230.0,2,866,10478,340.45,30.77691290938464
51590,Danville city,VA,41.9,31397.0,75,5309,42590,42.93,992.0801304449104
01115,St. Clair County,AL,48.2,69336.0,56,9895,91103,631.9,144.17312865959804
11001,District of Columbia,DC,81.4,577581.0,152,67812,689545,61.05,11294.758394758395
13239,Quitman County,GA,39.0,1869.0,0,201,2235,151.24,14.777836551176936
46099,Minnehaha County,SD,82.1,144430.0,94,16038,197214,807.15,244.33376695781453
