FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed,Population,Land_area,Population Density
23015,Lincoln County,ME,87.7,28812.0,18,2034,35237,455.82,77.30463779562108
40007,Beaver County,OK,39.8,3920.0,0,274,5049,1814.67,2.7823240589198037
39161,Van Wert County,OH,53.0,21715.0,22,1569,28931,409.16,70.7082803793137
36019,Clinton County,NY,78.6,66064.0,23,6376,79843,1037.85,76.93115575468518
20053,Ellsworth County,KS,62.9,4985.0,0,405,6376,715.85,8.906893902353845
19101,Jefferson County,IA,52.9,15472.0,6,897,15663,435.51,35.96473100502859
35007,Colfax County,NM,70.1,9803.0,9,646,12387,3758.06,3.296115548980059
27161,Waseca County,MN,66.8,14293.0,4,1124,18968,423.36,44.80347694633409
05087,Madison County,AR,51.2,12727.0,15,953,16521,834.26,19.803178865102005
41025,Harney County,OR,54.0,5907.0,2,322,7495,10133.17,0.739650079886156
40067,Jefferson County,OK,52.8,4551.0,3,300,5337,758.83,7.033195840965697
48483,Wheeler County,TX,48.1,3772.0,5,178,4990,914.52,5.456414293837204
31155,Saunders County,NE,61.1,16316.0,0,1189,22278,750.23,29.6948935659731
48425,Somervell County,TX,54.2,7124.0,9,526,9205,186.46,49.36715649469055
51161,Roanoke County,VA,56.7,75668.0,60,5829,96929,250.52,386.9112246527223
28159,Winston County,MS,57.6,13935.0,9,1903,17714,607.25,29.17085220255249
56043,Washakie County,WY,52.7,6021.0,6,457,7685,2238.55,3.43302584262134
46075,Jones County,SD,81.6,708.0,1,25,917,969.68,0.9456727992739874
21055,Crittenden County,KY,49.2,6865.0,7,597,8990,359.95,24.97569106820392
18073,Jasper County,IN,56.6,25822.0,31,1947,32918,559.63,58.82100673659382
38051,McIntosh County,ND,51.3,2036.0,0,120,2530,974.73,2.595590573799924
22079,Rapides Parish,LA,60.2,97737.0,70,9687,130023,1317.96,98.65473914231085
45003,Aiken County,SC,53.2,134333.0,55,12029,168808,1071.03,157.61276528201824
18097,Marion County,IN,66.3,727665.0,450,59924,977203,396.3,2465.8163007822354
38063,Nelson County,ND,80.6,2322.0,2,136,3015,981.78,3.070952759273972
26005,Allegan County,MI,62.2,89983.0,51,6543,120502,825.23,146.02232104988911
28015,Carroll County,MS,46.9,8090.0,9,692,9998,628.24,15.914300267413727
35031,McKinley County,NM,93.4,51282.0,31,7893,72902,5449.81,13.376980114903088
01055,Etowah County,AL,48.9,80492.0,70,7984,103436,534.99,193.34193162489015
54043,Lincoln County,WV,59.2,15872.0,12,1922,20463,437.04,46.8218012081274
22033,East Baton Rouge Parish,LA,65.6,339986.0,117,39962,456781,455.37,1003.0985791773722
21049,Clark County,KY,63.4,28215.0,5,3503,36972,252.46,146.44696189495366
21015,Boone County,KY,74.2,99065.0,31,11665,135968,246.36,551.9077772365644
48229,Hudspeth County,TX,80.8,3869.0,2,185,3202,4570.98,0.7005062371745229
22113,Vermilion Parish,LA,47.2,44521.0,21,4300,57359,1173.2,48.89106716672349
48393,Roberts County,TX,42.7,656.0,1,33,827,924.06,0.8949635305066771
37051,Cumberland County,NC,72.8,252655.0,44,29591,334728,652.32,513.1346578366446
31081,Hamilton County,NE,54.3,7073.0,0,655,9429,542.88,17.368479221927497
22087,St. Bernard Parish,LA,59.4,34744.0,9,3346,43764,377.52,115.9249841068023
47135,Perry County,TN,49.7,6283.0,7,589,8366,414.73,20.17216020061245
22041,Franklin Parish,LA,46.5,14951.0,27,2331,19774,624.59,31.659168414479897
48503,Young County,TX,51.3,13749.0,13,759,17867,914.47,19.538093103108903
35039,Rio Arriba County,NM,88.0,29944.0,26,3297,40363,5860.84,6.88689675882638
39019,Carroll County,OH,52.3,21293.0,21,986,26721,394.61,67.71495907351562
45013,Beaufort County,SC,73.0,157061.0,40,13782,187117,576.28,324.69806344138266
29151,Osage County,MO,47.5,10513.0,3,725,13274,604.35,21.96409365433937
39085,Lake County,OH,73.8,184715.0,122,7444,232603,227.49,1022.4757132181634
35001,Bernalillo County,NM,77.9,534057.0,306,46007,676444,1160.83,582.7244299337543
05095,Monroe County,AR,63.8,5328.0,5,656,6799,607.12,11.19877454210041
05059,Hot Spring County,AR,48.7,26808.0,9,2748,33040,615.2,53.70611183355006
48375,Potter County,TX,57.1,85401.0,67,10810,118525,908.37,130.48097141032838
31107,Knox County,NE,59.9,6305.0,0,356,8391,1108.35,7.570713222357559
48217,Hill County,TX,50.7,28169.0,15,1944,35874,958.86,37.413178149052
40151,Woods County,OK,48.7,6992.0,3,551,8624,1286.45,6.703719538264215
48477,Washington County,TX,59.4,28217.0,9,2144,35805,603.95,59.284708999089325
18015,Carroll County,IN,42.9,15790.0,13,920,20306,372.22,54.553758529901664
26137,Otsego County,MI,65.5,19545.0,17,1241,25091,514.97,48.72322659572402
33011,Hillsborough County,NH,69.6,332922.0,105,30439,422937,876.14,482.7276462665784
17065,Hamilton County,IL,47.2,6343.0,4,621,7993,434.67,18.38866266362988
40137,Stephens County,OK,57.3,33209.0,29,2371,42848,870.24,49.23699209413495
55013,Burnett County,WI,64.7,12730.0,5,892,16526,821.85,20.1082922674454
48103,Crane County,TX,46.7,3410.0,5,385,4675,785.07,5.954883004063332
13211,Morgan County,GA,54.8,14938.0,6,925,20097,347.35,57.85806823089103
48233,Hutchinson County,TX,44.3,15631.0,25,1137,20617,887.42,23.232516733902777
18109,Morgan County,IN,63.5,54681.0,48,4761,71780,403.97,177.68646186598014
18057,Hamilton County,IN,82.8,248016.0,92,23339,347467,394.27,881.2920080148123
41029,Jackson County,OR,66.8,175805.0,82,15348,223259,2783.55,80.20657074598982
02130,Ketchikan Gateway Borough,AK,74.3,10884.0,6,1384,13948,4858.41,2.8708980921741887
53011,Clark County,WA,74.0,373555.0,143,34442,503311,629.0,800.1764705882352
21213,Simpson County,KY,61.0,14162.0,12,1823,19594,234.2,83.66353543979506
30085,Roosevelt County,MT,91.0,7320.0,0,856,10794,2354.79,4.583848241244442
01115,St. Clair County,AL,47.1,69336.0,29,7052,91103,631.9,144.17312865959804
51119,Middlesex County,VA,69.8,8888.0,12,654,10625,130.31,81.53633642851662
45031,Darlington County,SC,58.1,51956.0,56,5896,62905,561.15,112.10015147465027
48025,Bee County,TX,58.5,25742.0,13,1919,31047,880.24,35.27106243751704
46011,Brookings County,SD,58.1,27836.0,9,2280,34375,792.21,43.391272516125774
48357,Ochiltree County,TX,51.5,6785.0,7,302,10015,917.63,10.91398493946362
02180,Nome Census Area,AK,84.7,6544.0,2,2959,10046,22961.76,0.4375100166537757
51097,King and Queen County,VA,57.8,5795.0,2,356,6608,315.14,20.968458462905375
17167,Sangamon County,IL,73.9,151706.0,65,20712,196343,868.3,226.12345963376717
37123,Montgomery County,NC,50.9,21266.0,15,2320,25751,491.76,52.364974784447696
46079,Lake County,SD,57.1,10220.0,5,459,11059,563.28,19.633219713108936
13277,Tift County,GA,48.6,30600.0,20,2748,41344,258.92,159.67866522477985
27055,Houston County,MN,70.0,14533.0,0,1249,18843,552.06,34.13215954787523
27127,Redwood County,MN,64.9,11389.0,3,804,15425,878.57,17.556939116974174
51117,Mecklenburg County,VA,49.7,24881.0,9,2089,30319,625.49,48.47239764025005
13073,Columbia County,GA,60.5,117374.0,35,8593,156010,290.09,537.7986142231722
48077,Clay County,TX,55.6,8403.0,5,353,10218,1088.72,9.385333235358951
20089,Jewell County,KS,55.4,2293.0,1,156,2932,909.78,3.2227571500802394
50005,Caledonia County,VT,39.9,24255.0,3,1308,30233,648.86,46.59402644638288
42055,Franklin County,PA,57.7,120801.0,112,10222,155932,772.22,201.9269120198907
49051,Wasatch County,UT,73.0,23642.0,2,3443,34788,1175.5,29.59421522756274
40049,Garvin County,OK,57.6,20882.0,22,1798,25656,802.12,31.985239116341692
38029,Emmons County,ND,40.7,2608.0,1,110,3301,1510.44,2.185455893646884
47085,Humphreys County,TN,50.0,14586.0,9,1254,18990,530.98,35.76405890994011
17063,Grundy County,IL,67.7,38268.0,32,2769,52533,418.04,125.66500813319298
32003,Clark County,NV,66.7,1745917.0,1018,144970,2265461,7891.43,287.078641006763
23003,Aroostook County,ME,76.5,54809.0,32,4226,67105,6671.33,10.05871392960624
28047,Harrison County,MS,66.0,158574.0,78,17165,208621,573.99,363.4575515252879
37041,Chowan County,NC,65.8,11164.0,10,1584,13708,172.47,79.48048936046848
