FIPS,Confirmed
01001,4945
01003,16601
01005,1847
01007,1967
01009,3817
01011,660
01013,1476
01015,9170
01017,2372
01019,1767
01021,3745
01023,1035
01025,2226
01027,1454
01029,923
01031,3980
01033,6643
01035,899
01037,1040
01039,2245
01041,1112
01043,7802
01045,3671
01047,2926
01049,5315
01051,6817
01053,2868
01055,8150
01057,1584
01059,3369
01061,1759
01063,518
01065,1492
01067,1303
01069,7544
01071,4480
01073,61415
01075,1144
01077,8493
01079,2642
01081,11249
01083,8276
01085,764
01087,1313
01089,33994
01091,1710
01093,2664
01095,8042
01097,34830
01099,1755
01101,18050
01103,12531
80001,0
01105,647
01107,1815
01109,2181
01111,1470
01113,2728
01117,20706
01115,7688
01119,1142
01121,7529
01123,3736
01125,19275
90001,0
01127,6208
01129,1134
01131,1051
01133,2645
02013,652
02016,742
02020,43771
02050,3547
02060,0
02164,319
02063,784
02066,275
02068,237
02070,948
02090,10723
02100,404
02110,4919
02122,6211
02130,2007
02150,2293
02158,1673
02170,10272
02180,3885
02185,1593
02188,2481
02195,263
02198,854
02220,1449
02230,149
02240,668
90002,442
02261,0
02275,378
02282,308
02290,643
60,6134
04001,6365
04003,11652
04005,16248
04007,5218
04009,3116
04011,737
04012,1574
04013,419388
04015,18757
04017,11524
80004,0
04019,84404
04021,44303
04023,6215
90004,-1
04025,12234
04027,18185
05001,2018
05003,1737
05005,2216
05007,20689
05009,2530
05011,921
05013,333
05015,1552
05017,687
05019,1683
05021,1203
05023,2192
05025,749
05027,1828
05029,1966
05031,12205
05033,4346
05035,4330
05037,1666
05039,581
05041,992
05043,1611
05045,13055
05047,926
05049,658
05051,6651
05053,1413
05055,4953
05057,1335
05059,3051
05061,1054
05063,3297
05065,991
05067,1371
05069,5532
05071,1956
05073,398
05075,1644
05077,612
05079,1011
05081,1069
05083,1272
05085,6655
05087,1101
05089,862
05091,2668
05093,4137
05095,686
05097,333
05099,682
05101,375
05103,1683
05105,821
05107,1320
05109,780
05111,2444
05113,1048
05115,5520
05117,608
05119,38148
05121,1484
05125,10646
05127,469
05129,690
05131,8557
05133,1725
05135,1287
05123,2019
05137,884
90005,19919
05139,2699
05141,1008
05143,21257
05145,7489
05147,545
05149,1888
06001,162463
06003,16
06005,3431
06007,14536
06009,3156
06011,1174
06013,108029
06015,2536
06017,11983
06019,98226
06021,1947
06023,10610
06025,25071
06027,1971
06029,85307
06031,19632
06033,4696
06035,2386
06037,1279741
06039,16970
06041,20248
06043,1584
06045,7988
06047,25772
06049,199
06051,1066
06053,43746
06055,14029
06057,7326
06059,258137
80006,0
06061,28769
06063,1450
06065,222430
06067,145619
06069,5575
06071,206348
06073,396242
06075,86356
06077,70505
06079,25801
06081,83930
06083,44287
06085,196316
06087,30354
06089,10505
06091,108
06093,2500
06095,42689
06097,48048
06099,44889
06101,8099
06103,4354
06105,435
06107,48279
06109,5669
90006,2893
06111,77934
06113,19451
06115,6475
08001,46069
08003,1536
08005,59813
08007,904
08009,276
08011,614
08013,31538
08014,5822
08015,1997
08017,73
08019,643
08021,601
08023,292
08025,847
08027,186
08029,1484
08031,65563
08033,80
08035,31916
08037,4960
08041,69986
08039,1643
08043,5045
08045,5524
08047,384
08049,1070
08051,1289
08053,62
08055,518
08057,42
08059,49784
08061,59
08063,350
08067,5499
08065,589
08069,33868
08071,1273
08073,788
08075,2205
08077,13209
08079,89
08081,824
08083,2063
08085,2504
08087,1555
08089,978
08091,289
80008,0
08093,1002
08095,278
08097,2650
08099,620
08101,16980
08103,448
08105,933
08107,2355
08109,363
08111,89
08113,704
08115,126
08117,3193
08119,1442
90008,13
08121,300
08123,29979
08125,429
09001,81463
09003,70526
09005,12142
