FIPS,Deaths
01001,60
01003,94
01005,19
01007,10
01009,49
01011,8
01013,27
01015,106
01017,18
01019,22
01021,39
01023,7
01025,14
01027,14
01029,9
01031,41
01033,50
01035,9
01037,11
01039,37
01041,23
01043,61
01045,40
01047,35
01049,55
01051,55
01053,26
01055,128
01057,11
01059,29
01061,28
01063,6
01065,17
01067,12
01069,80
01071,43
01073,372
01075,6
01077,84
01079,25
01081,75
01083,70
01085,11
01087,17
01089,222
01091,15
01093,21
01095,75
01097,287
01099,15
01101,169
01103,96
80001,0
01105,6
01107,14
01109,25
01111,8
01113,29
01117,80
01115,56
01119,10
01121,73
01123,37
01125,139
90001,0
01127,65
01129,8
01131,10
01133,22
02013,0
02016,0
02020,126
02050,10
02060,0
02164,0
02063,2
02066,6
02068,0
02070,2
02090,30
02100,0
02110,7
02122,29
02130,9
02150,2
02158,5
02170,74
02180,2
02185,5
02188,5
02195,3
02198,4
02220,0
02230,0
02240,6
90002,-1
02261,0
02275,0
02282,2
02290,3
60,33
04001,77
04003,114
04005,69
04007,79
04009,22
04011,12
04012,38
04013,3879
04015,317
04017,168
80004,0
04019,747
04021,373
04023,28
90004,0
04025,285
04027,206
05001,13
05003,15
05005,58
05007,187
05009,41
05011,11
05013,2
05015,26
05017,11
05019,17
05021,18
05023,30
05025,3
05027,22
05029,18
05031,81
05033,61
05035,38
05037,15
05039,12
05041,5
05043,14
05045,82
05047,14
05049,17
05051,89
05053,10
05055,48
05057,21
05059,28
05061,13
05063,44
05065,15
05067,17
05069,46
05071,25
05073,2
05075,19
05077,7
05079,11
05081,22
05083,24
05085,68
05087,21
05089,18
05091,30
05093,56
05095,10
05097,3
05099,3
05101,5
05103,18
05105,12
05107,17
05109,5
05111,24
05113,22
05115,48
05117,12
05119,232
05121,25
05125,89
05127,10
05129,18
05131,124
05133,13
05135,32
05123,24
05137,20
90005,0
05139,31
05141,17
05143,129
05145,94
05147,7
05149,20
06001,394
06003,0
06005,17
06007,100
06009,37
06011,1
06013,301
06015,11
06017,50
06019,422
06021,9
06023,30
06025,148
06027,8
06029,569
06031,65
06033,25
06035,10
06037,5037
06039,58
06041,51
06043,18
06045,26
06047,144
06049,4
06051,3
06053,109
06055,43
06057,22
06059,1305
80006,0
06061,158
06063,1
06065,1027
06067,777
06069,18
06071,1886
06073,918
06075,249
06077,365
06079,137
06081,151
06083,139
06085,411
06087,41
06089,173
06091,4
06093,23
06095,78
06097,82
06099,257
06101,35
06103,68
06105,3
06107,354
06109,105
90006,-3
06111,320
06113,56
06115,25
08001,311
08003,6
08005,260
08007,7
08009,7
08011,5
08013,88
08014,24
08015,13
08017,1
08019,5
08021,11
08023,5
08025,4
08027,8
08029,19
08031,311
08033,2
08035,105
08037,4
08041,359
08039,11
08043,32
08045,17
08047,2
08049,8
08051,1
08053,0
08055,11
