FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
41043,Linn County,OR,64.8,100853.0,17,7215
42053,Forest County,PA,78.0,6468.0,3,280
51760,Richmond city,VA,48.6,190750.0,11,12045
19167,Sioux County,IA,53.1,25468.0,2,1132
06043,Mariposa County,CA,0.0,14425.0,1,927
20079,Harvey County,KS,54.3,26160.0,12,2620
06009,Calaveras County,CA,60.7,38077.0,3,2247
51097,King and Queen County,VA,57.3,5795.0,1,312
39001,Adams County,OH,42.4,21111.0,13,1538
51031,Campbell County,VA,47.1,44243.0,12,1826
37093,Hoke County,NC,47.9,40282.0,5,5389
39035,Cuyahoga County,OH,72.3,980955.0,466,35232
20135,Ness County,KS,60.3,2181.0,1,177
19001,Adair County,IA,57.5,5593.0,2,154
54109,Wyoming County,WV,60.6,16232.0,7,1786
29123,Madison County,MO,47.6,9307.0,5,711
56037,Sweetwater County,WY,59.7,31375.0,8,1970
19011,Benton County,IA,68.2,19698.0,7,1004
06027,Inyo County,CA,0.0,14312.0,1,1563
22017,Caddo Parish,LA,57.2,183879.0,38,20328
48019,Bandera County,TX,56.1,19305.0,5,612
45043,Georgetown County,SC,61.0,51441.0,10,3893
18161,Union County,IN,58.3,5588.0,2,486
22035,East Carroll Parish,LA,54.5,5223.0,2,554
32021,Mineral County,NV,66.6,3620.0,1,245
13189,McDuffie County,GA,55.2,16012.0,5,992
21195,Pike County,KY,60.7,45924.0,12,3177
13093,Dooly County,GA,41.0,11188.0,1,526
12105,Polk County,FL,65.6,565542.0,1197,46018
37051,Cumberland County,NC,71.4,252655.0,6,23102
48301,Loving County,TX,0.0,120.0,0,92
72003,Aguada Municipio,PR,77.7,30580.0,0,2431
37009,Ashe County,NC,59.3,22479.0,9,1419
28027,Coahoma County,MS,61.9,16155.0,4,1397
26045,Eaton County,MI,65.0,87545.0,23,6670
72097,Mayaguez Municipio,PR,82.6,59649.0,0,3392
42085,Mercer County,PA,60.5,88425.0,30,4227
48051,Burleson County,TX,58.8,14427.0,1,916
48345,Motley County,TX,35.2,963.0,2,32
18145,Shelby County,IN,67.8,34623.0,9,3389
55115,Shawano County,WI,61.6,32167.0,14,2461
47057,Grainger County,TN,57.7,18657.0,7,1339
05117,Prairie County,AR,50.3,6412.0,2,490
16085,Valley County,ID,68.1,9310.0,1,614
42129,Westmoreland County,PA,64.1,285329.0,120,15718
21161,Mason County,KY,60.3,13123.0,10,1120
17169,Schuyler County,IL,63.8,5535.0,2,585
16035,Clearwater County,ID,47.3,7374.0,1,350
42051,Fayette County,PA,64.9,104556.0,47,5642
31141,Platte County,NE,57.5,24653.0,0,1543
39161,Van Wert County,OH,52.4,21715.0,15,1198
41033,Josephine County,OR,57.8,70421.0,30,3454
21009,Barren County,KY,54.0,33861.0,13,2259
13053,Chattahoochee County,GA,95.0,8447.0,0,389
13025,Brantley County,GA,31.8,14683.0,6,606
26105,Mason County,MI,69.8,23240.0,12,1333
20209,Wyandotte County,KS,65.9,119705.0,38,12884
48493,Wilson County,TX,62.3,38908.0,7,2032
17079,Jasper County,IL,51.5,7381.0,3,607
