FIPS,Confirmed
01001,4809
01003,15732
01005,1808
01007,1909
01009,3724
01011,642
01013,1451
01015,8988
01017,2315
01019,1741
01021,3696
01023,1024
01025,2199
01027,1428
01029,910
01031,3817
01033,6511
01035,878
01037,1020
01039,2194
01041,1093
01043,7611
01045,3505
01047,2857
01049,5224
01051,6636
01053,2756
01055,8074
01057,1567
01059,3334
01061,1715
01063,508
01065,1418
01067,1251
01069,7229
01071,4402
01073,58581
01075,1120
01077,8274
01079,2600
01081,10787
01083,7886
01085,740
01087,1256
01089,32080
01091,1681
01093,2573
01095,7870
01097,34205
01099,1736
01101,17210
01103,12250
80001,0
01105,637
01107,1793
01109,2143
01111,1469
01113,2620
01117,19769
01115,7422
01119,1113
01121,7335
01123,3673
01125,18451
90001,0
01127,6101
01129,1114
01131,1036
01133,2618
02013,646
02016,735
02020,41086
02050,3280
02060,0
02164,305
02063,738
02066,254
02068,117
02070,921
02090,10044
02100,374
02110,4084
02122,5807
02130,1682
02150,2217
02158,1626
02170,9657
02180,3836
02185,1531
02188,2343
02195,232
02198,801
02220,1221
02230,83
02240,640
90002,376
02261,0
02275,341
02282,255
02290,601
60,5811
04001,6136
04003,11349
04005,15510
04007,5021
04009,3007
04011,719
04012,1545
04013,400088
04015,18239
04017,11111
80004,0
04019,80336
04021,43053
04023,6128
90004,-1
04025,11534
04027,18041
05001,1989
05003,1721
05005,2129
05007,19995
05009,2449
05011,903
05013,328
05015,1504
05017,682
05019,1598
05021,1155
05023,2148
05025,732
05027,1800
05029,1935
05031,11892
05033,4267
05035,4191
05037,1633
05039,549
05041,989
05043,1596
05045,12670
05047,905
05049,648
05051,6508
05053,1388
05055,4803
05057,1320
05059,2968
05061,1042
05063,3231
05065,950
05067,1347
05069,5444
05071,1915
05073,396
05075,1581
05077,597
05079,995
05081,1061
05083,1245
05085,6497
05087,1060
05089,836
05091,2628
05093,4061
05095,671
05097,324
05099,676
05101,367
05103,1642
05105,802
05107,1287
05109,771
05111,2371
05113,1044
05115,5460
05117,602
05119,36479
05121,1437
05125,10350
05127,456
05129,672
05131,8334
05133,1676
05135,1256
05123,1966
05137,855
90005,19678
05139,2656
05141,978
05143,20403
05145,7316
05147,535
05149,1871
06001,138917
06003,12
06005,3197
06007,13298
06009,2947
06011,1126
06013,92914
06015,2130
06017,10607
06019,92060
06021,1856
06023,9005
06025,23825
06027,1815
06029,80708
06031,18726
06033,4373
06035,2259
06037,1175621
06039,15926
06041,15946
06043,1337
06045,7207
06047,23997
06049,183
06051,988
06053,39801
06055,12652
06057,6639
06059,235563
80006,0
06061,25345
06063,1264
06065,206300
06067,130159
06069,4986
06071,193733
06073,363273
06075,71243
06077,64329
06079,23000
06081,71058
06083,40180
06085,166337
06087,26742
06089,9782
06091,96
06093,2301
06095,37464
06097,41399
06099,41465
06101,7586
06103,4114
06105,413
06107,45511
06109,5125
90006,2039
06111,70462
06113,17008
06115,5862
08001,40716
08003,1437
08005,51679
08007,841
08009,258
08011,587
08013,25885
08014,4896
08015,1808
08017,73
08019,565
08021,557
08023,260
08025,839
08027,162
08029,1383
08031,55670
08033,79
08035,27463
08037,4507
08041,61896
08039,1483
08043,4725
08045,5080
08047,344
08049,1009
08051,1233
08053,60
08055,511
08057,37
08059,42881
08061,56
08063,338
08067,5148
08065,542
08069,29079
08071,1215
08073,746
08075,2113
08077,12302
08079,80
08081,759
08083,1966
08085,2316
08087,1435
08089,931
08091,256
80008,0
08093,894
08095,272
08097,2450
08099,600
08101,15370
08103,395
08105,850
08107,2123
08109,347
08111,81
08113,664
08115,120
08117,2823
08119,1302
90008,13
08121,289
08123,26547
08125,403
09001,68529
09003,57227
09005,10140
09007,10021
09009,66499
09011,20366
09013,6609
90009,397
09015,8305
10001,16305
10003,44158
10005,17967
90010,151
88888,0
11001,47657
12001,25188
12003,2533
