FIPS,Deaths
01001,6
01003,19
01005,3
01007,1
01009,9
01011,1
01013,6
01015,22
01017,1
01019,4
01021,10
01023,3
01025,1
01027,3
01029,3
01031,8
01033,5
01035,1
01037,3
01039,5
01041,3
01043,14
01045,10
01047,8
01049,12
01051,11
01053,4
01055,17
01057,0
01059,6
01061,5
01063,2
01065,4
01067,1
01069,16
01071,9
01073,56
01075,1
01077,18
01079,7
01081,16
01083,12
01085,0
01087,1
01089,43
01091,1
01093,6
01095,22
01097,65
01099,3
01101,16
01103,23
80001,0
01105,-1
01107,2
01109,7
01111,2
01113,2
01117,16
01115,11
01119,1
01121,12
01123,8
01125,32
90001,0
01127,7
01129,2
01131,0
01133,4
02013,0
02016,0
02020,41
02050,5
02060,0
02164,0
02063,0
02066,3
02068,0
02070,1
02090,7
02100,0
02110,3
02122,11
02130,3
02150,0
02158,0
02170,26
02180,0
02185,1
02188,2
02195,0
02198,0
02220,0
02230,0
02240,2
90002,0
02261,0
02275,0
02282,2
02290,0
60,0
04001,29
04003,38
04005,22
04007,27
04009,6
04011,3
04012,7
04013,998
04015,98
04017,61
80004,0
04019,264
04021,121
04023,6
90004,0
04025,105
04027,66
05001,3
05003,1
05005,17
05007,31
05009,5
05011,1
05013,0
05015,6
05017,2
05019,4
05021,1
05023,5
05025,0
05027,0
05029,2
05031,18
05033,15
05035,6
05037,1
05039,2
05041,-1
05043,1
05045,28
05047,4
05049,3
05051,11
05053,1
05055,7
05057,3
05059,2
05061,2
05063,11
05065,5
05067,2
05069,11
05071,1
05073,0
05075,2
05077,-1
05079,2
05081,1
05083,4
05085,18
05087,3
05089,5
05091,5
05093,10
05095,1
05097,-1
05099,0
05101,1
05103,1
05105,1
05107,1
05109,0
05111,3
05113,1
05115,5
05117,2
05119,62
05121,5
05125,19
05127,0
05129,6
05131,17
05133,0
05135,7
05123,2
05137,2
90005,0
05139,8
05141,3
05143,20
05145,15
05147,0
05149,7
06001,63
06003,0
06005,3
06007,13
06009,3
06011,0
06013,29
06015,0
06017,12
06019,84
06021,0
06023,8
06025,46
06027,1
06029,94
06031,12
06033,2
06035,1
06037,1326
06039,15
06041,4
06043,1
06045,12
06047,46
06049,0
06051,1
06053,18
06055,7
06057,2
06059,210
80006,0
06061,34
06063,0
06065,266
06067,130
06069,8
06071,251
06073,196
06075,30
06077,83
06079,29
06081,19
06083,38
06085,66
06087,11
06089,35
06091,0
06093,5
06095,35
06097,27
06099,78
06101,9
06103,6
06105,2
06107,85
06109,0
90006,0
06111,79
06113,4
06115,4
08001,117
08003,2
08005,91
08007,0
08009,1
08011,4
08013,20
08014,7
08015,2
08017,1
08019,3
08021,3
08023,1
08025,1
08027,4
08029,1
08031,86
08033,1
08035,26
08037,2
08041,107
08039,2
08043,12
08045,6
08047,1
08049,2
08051,0
08053,0
08055,1
08057,0
08059,107
08061,1
08063,4
08067,6
08065,0
08069,35
08071,5
08073,1
08075,7
08077,30
08079,0
08081,2
08083,6
08085,7
08087,5
08089,6
08091,0
80008,0
08093,3
08095,0
08097,0
08099,2
08101,58
08103,2
08105,2
08107,1
08109,0
08111,0
08113,0
08115,2
08117,0
08119,4
90008,0
08121,1
08123,43
08125,0
09001,192
09003,193
09005,42
09007,39
09009,253
09011,65
09013,37
90009,2
09015,27
10001,58
10003,112
10005,75
90010,0
88888,0
11001,73
12001,252
12003,65
12005,319
12007,72
12009,917
12011,2068
12013,40
12015,241
12017,390
12019,366
12021,353
12023,159
12027,43
12029,28
12031,1447
12033,421
12035,175
12037,26
12039,66
12041,27
12043,15
12045,22
12047,24
12049,60
12051,59
12053,467
12055,208
12057,1342
12059,24
12061,281
12063,87
12065,8
12067,26
12069,613
12071,892
12073,208
12075,59
12077,9
12079,24
12081,556
12083,850
12085,206
12086,3093
12087,51
12089,125
12091,225
12093,75
12095,1043
12097,423
12099,1524
12101,859
12103,1168
12105,1197
12107,227
12113,247
12115,532
12117,406
12109,264
12111,416
12119,202
12121,131
12123,39
90012,-24029
12125,30
12127,818
12129,53
12131,91
12133,36
13001,5
13003,0
13005,1
13007,0
13009,4
13011,3
13013,17
13015,33
13017,3
13019,0
13021,21
13023,-1
13025,6
13027,2
13029,4
13031,7
13033,4
13035,11
13037,0
13039,3
13043,1
13045,18
13047,12
13049,0
13051,24
13053,0
13055,7
13057,30
13059,10
13061,0
13063,38
13065,1
13067,82
13069,2
13071,7
13073,15
13075,1
13077,21
13079,2
13081,10
13083,6
13085,10
13089,70
13087,6
13091,2
13093,1
13095,17
13097,26
13099,0
13101,0
13103,4
13105,4
13107,2
13109,6
13111,8
13113,26
13115,20
13117,17
13119,5
13121,80
13123,10
13125,2
13127,17
13129,22
13131,5
13133,1
13135,84
13137,8
13139,31
13141,3
13143,13
13145,3
13147,2
13149,1
13151,46
13153,14
13155,0
13157,13
13159,7
13161,1
13163,6
13165,1
13167,2
13169,3
13171,4
13173,1
13175,9
13177,7
13179,5
13181,2
13183,0
13185,5
13187,2
13193,1
13195,0
13197,2
13189,5
13191,2
13199,5
13201,1
13205,2
13207,2
13209,2
13211,1
13213,7
13215,26
13217,21
13219,10
13221,2
80013,119
13223,20
13225,2
13227,14
13229,1
13231,4
13233,6
13235,0
13237,3
13239,0
13241,6
13243,1
13245,19
13247,19
13249,0
13251,0
13253,1
13255,22
13257,8
13259,1
13261,2
13263,1
13265,0
13267,4
13269,5
13271,1
13273,1
13275,4
13277,8
13279,2
13281,5
13283,1
13285,18
13287,0
13289,1
90013,5
13291,7
13293,11
13295,18
13297,20
13299,1
13301,1
13303,4
13305,5
13307,0
13309,0
13311,8
13313,13
13315,-1
13317,4
13319,3
13321,2
99999,0
66,20
15001,11
15003,68
15007,4
15009,3
80015,1
90015,0
16001,60
16003,0
16005,13
16007,0
16009,3
16011,5
16013,1
16015,2
16017,16
16019,18
16021,4
16023,0
16025,1
16027,21
16029,0
16031,3
16033,0
16035,1
16037,1
16039,4
16041,0
16043,3
16045,2
16047,4
16049,2
16051,3
16053,2
16055,34
16057,3
16059,2
16061,2
16063,0
16065,1
16067,2
16069,12
16071,0
16073,5
16075,3
16077,1
16079,4
16081,0
16083,15
90016,0
16085,1
16087,5
17001,20
17003,0
17005,0
17007,11
17009,0
17011,15
17013,0
17015,3
17017,3
17019,40
17021,14
17023,1
17025,5
17027,2
17029,10
17031,1356
17033,3
17035,6
17039,1
17037,25
17041,12
17043,136
17045,4
17047,4
17049,12
17051,16
17053,3
17055,19
17057,16
17059,2
17061,2
17063,22
17065,3
17067,7
17069,2
17071,2
17073,15
17075,13
17077,4
17079,3
17081,11
17083,3
17085,1
17087,4
17089,84
17091,53
17093,16
17095,13
17099,38
17097,90
17101,2
17103,5
17105,12
17107,5
17115,43
17117,7
17119,73
17121,23
17123,4
17125,5
17127,6
17109,6
17111,56
17113,26
17129,3
17131,2
17133,9
17135,9
17137,7
17139,3
17141,15
80017,0
17143,58
17145,8
17147,4
17149,5
17151,0
17153,1
17155,0
17157,6
17159,3
17161,37
17165,10
17167,36
17169,2
17171,2
17173,8
17163,52
17175,2
17177,24
17179,51
90017,555
17181,8
17183,24
17185,1
17187,5
17189,3
17191,7
17193,4
17195,16
17197,149
17199,26
17201,88
17203,6
18001,11
18003,98
18005,19
18007,1
18009,10
18011,16
18013,7
18015,8
18017,9
18019,39
18021,11
18023,15
18025,4
18027,9
18033,13
18029,6
