FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed,Population,Land_area,Population Density
37095,Hyde County,NC,74.1,4098.0,1,422,4589,612.7,7.489799249224743
51840,Winchester city,VA,51.9,21768.0,18,1895,28120,9.23,3046.5872156013
48033,Borden County,TX,41.0,524.0,0,32,631,897.44,0.7031110714922446
36055,Monroe County,NY,80.8,588835.0,198,37597,759443,657.21,1155.5560627501102
45027,Clarendon County,SC,55.9,27368.0,20,3245,31144,606.94,51.31314462714601
51171,Shenandoah County,VA,58.0,34452.0,34,2873,44186,508.78,86.84696725500217
13255,Spalding County,GA,49.5,51061.0,62,3779,67306,196.47,342.5764747798646
01099,Monroe County,AL,51.6,16360.0,14,1729,19772,1025.68,19.27696747523594
31161,Sheridan County,NE,38.4,4091.0,0,139,5127,2440.86,2.100489171849266
47117,Marshall County,TN,52.5,26435.0,19,2920,34318,375.46,91.40254620998245
13013,Barrow County,GA,49.0,61820.0,44,5534,83505,160.31,520.8970120391741
46037,Day County,SD,75.1,4211.0,5,329,5449,1027.87,5.301254049636627
08053,Hinsdale County,CO,70.7,697.0,0,53,788,1117.25,0.705303199820989
13033,Burke County,GA,69.6,16641.0,18,1322,24596,826.97,29.74231229669758
28051,Holmes County,MS,69.8,12752.0,14,1561,17000,756.7,22.46597066208537
33009,Grafton County,NH,81.1,75544.0,17,7974,91118,1708.75,53.32435991221653
18181,White County,IN,66.6,18501.0,19,1540,24688,505.13,48.87454714627918
23027,Waldo County,ME,79.2,32498.0,19,2387,39607,729.92,54.2621109162648
01081,Lee County,AL,46.6,129821.0,63,10650,174241,607.54,286.7975771142641
20009,Barton County,KS,52.9,19708.0,18,1754,25493,895.4,28.47107438016529
29115,Linn County,MO,56.9,9140.0,6,516,11874,615.56,19.28975242056014
30063,Missoula County,MT,71.2,97394.0,9,9122,117922,2593.42,45.4696886736433
26063,Huron County,MI,63.8,25035.0,23,1680,31407,835.71,37.581218365222384
36075,Oswego County,NY,67.5,92646.0,36,8824,117525,951.65,123.49603320548522
17065,Hamilton County,IL,48.1,6343.0,6,633,7993,434.67,18.38866266362988
48001,Anderson County,TX,46.9,46755.0,27,1544,57922,1062.6,54.509693205345386
51029,Buckingham County,VA,44.9,14117.0,15,973,16824,579.66,29.02391056826416
21069,Fleming County,KY,62.6,11025.0,12,1175,15082,348.54,43.2719343547369
48269,King County,TX,30.0,200.0,0,5,265,910.87,0.290930648720454
04021,Pinal County,AZ,62.2,360425.0,274,41084,425264,5365.61,79.25734445850519
42111,Somerset County,PA,55.7,60412.0,71,4542,74129,1074.37,68.99764513156548
01021,Chilton County,AL,44.4,33837.0,28,3620,45014,692.85,64.96932958071733
51121,Montgomery County,VA,50.0,83465.0,27,5491,99721,387.01,257.6703444355443
08097,Pitkin County,CO,88.3,15156.0,0,2233,17358,970.7,17.881940867415267
53045,Mason County,WA,69.6,53764.0,45,5304,65726,959.42,68.50597235829981
45039,Fairfield County,SC,72.1,18108.0,12,2365,20948,686.28,30.523984379553536
13273,Terrell County,GA,69.6,6568.0,5,709,9185,335.44,27.38194610064393
47189,Wilson County,TN,62.5,110755.0,72,10786,147737,570.83,258.8108543699525
55105,Rock County,WI,80.6,125952.0,104,13473,163687,718.14,227.9318795777982
17123,Marshall County,IL,66.2,9119.0,7,835,11742,386.79,30.357558365004262
40085,Love County,OK,52.3,7790.0,8,1012,10146,514.0,19.739299610894943
27001,Aitkin County,MN,66.1,13268.0,7,520,15697,1821.66,8.616865935465453
48333,Mills County,TX,53.2,3878.0,8,388,4456,748.26,5.95514927966215
54045,Logan County,WV,65.1,25443.0,29,3288,32567,453.74,71.77458456384714
18163,Vanderburgh County,IN,67.4,142385.0,89,19397,180136,233.48,771.5264690765805
24013,Carroll County,MD,82.6,132087.0,79,5763,172891,447.6,386.2622877569258
29007,Audrain County,MO,45.8,19666.0,24,1285,24962,692.24,36.05974806425517
29211,Sullivan County,MO,52.5,4725.0,2,360,5999,647.98,9.258001790178708
47141,Putnam County,TN,60.6,63524.0,41,6964,79854,401.1,199.08750934928943
26087,Lapeer County,MI,56.1,69822.0,88,4673,88619,643.01,137.81900748044353
26073,Isabella County,MI,49.9,57748.0,46,4101,64394,572.68,112.4432492840679
05057,Hempstead County,AR,50.0,15992.0,16,1312,20065,727.52,27.579997800747748
21227,Warren County,KY,44.8,102521.0,57,13974,134554,541.6,248.4379615952733
44003,Kent County,RI,86.0,133690.0,89,18900,170363,168.53,1010.8764018275676
28105,Oktibbeha County,MS,57.3,40847.0,18,3618,51788,458.2,113.02487996508076
48273,Kleberg County,TX,70.7,23341.0,13,2514,31040,881.31,35.220297057788976
27029,Clearwater County,MN,51.8,6639.0,5,461,8524,998.94,8.533045027729393
13317,Wilkes County,GA,57.6,7735.0,10,594,9565,469.49,20.37317088755884
27081,Lincoln County,MN,62.8,4319.0,1,265,5640,536.76,10.507489380728815
48191,Hall County,TX,53.6,2308.0,8,276,2825,883.49,3.197546095598139
24021,Frederick County,MD,86.0,199557.0,100,13408,271717,660.22,411.55523916270334
17153,Pulaski County,IL,51.1,4199.0,4,523,5193,199.19,26.07058587278478
47155,Sevier County,TN,59.4,78227.0,74,7933,98380,592.5,166.042194092827
40149,Washita County,OK,48.8,8243.0,17,888,10924,1003.17,10.889480347299063
40069,Johnston County,OK,52.8,8428.0,4,987,10272,642.94,15.976607459483
16057,Latah County,ID,65.8,32723.0,7,1806,39517,1076.0,36.72583643122677
35041,Roosevelt County,NM,46.4,13995.0,11,1480,19191,2447.43,7.841286574079749
36067,Onondaga County,NY,82.5,363436.0,155,41291,476516,778.39,612.1815542337389
13259,Stewart County,GA,34.9,5904.0,2,867,5314,458.73,11.584156257493516
29109,Lawrence County,MO,47.2,28653.0,25,1966,38001,611.74,62.11952790401151
40109,Oklahoma County,OK,76.2,594822.0,410,67174,796292,708.82,1123.405095793008
22093,St. James Parish,LA,61.6,16267.0,6,1930,20192,241.54,83.59691976484227
54011,Cabell County,WV,68.1,73869.0,80,9679,94350,281.02,335.74122838232154
47173,Union County,TN,42.6,15673.0,11,1670,19802,223.55,88.57973607694028
29037,Cass County,MO,60.8,80578.0,82,7430,107824,696.84,154.7327937546639
05101,Newton County,AR,40.1,6257.0,3,367,7225,820.9,8.801315629187478
51085,Hanover County,VA,67.0,84419.0,69,7101,109979,468.54,234.72702437358603
29005,Atchison County,MO,65.9,4106.0,3,415,5305,547.3,9.693038552896036
13091,Dodge County,GA,41.0,16643.0,11,1406,19925,495.89,40.18028191736071
28119,Quitman County,MS,63.6,5248.0,3,416,6176,405.01,15.249006197377843
30085,Roosevelt County,MT,92.4,7320.0,2,912,10794,2354.79,4.583848241244442
28021,Claiborne County,MS,60.4,7106.0,6,761,9135,487.41,18.74192158552348
