FIPS,Deaths
01001,34
01003,47
01005,12
01007,4
01009,20
01011,3
01013,17
01015,56
01017,5
01019,13
01021,14
01023,4
01025,8
01027,7
01029,6
01031,26
01033,24
01035,4
01037,6
01039,17
01041,12
01043,37
01045,22
01047,17
01049,31
01051,30
01053,9
01055,70
01057,6
01059,21
01061,17
01063,3
01065,7
01067,3
01069,39
01071,24
01073,190
01075,4
01077,48
01079,14
01081,43
01083,36
01085,4
01087,6
01089,114
01091,10
01093,11
01095,44
01097,168
01099,11
01101,64
01103,54
80001,0
01105,2
01107,5
01109,15
01111,7
01113,12
01117,35
01115,29
01119,3
01121,43
01123,17
01125,64
90001,0
01127,25
01129,4
01131,4
01133,9
02013,0
02016,0
02020,74
02050,8
02060,0
02164,0
02063,0
02066,4
02068,0
02070,1
02090,12
02100,0
02110,5
02122,15
02130,6
02150,1
02158,2
02170,46
02180,2
02185,2
02188,2
02195,0
02198,0
02220,0
02230,0
02240,2
90002,0
02261,0
02275,0
02282,2
02290,1
60,0
04001,43
04003,75
04005,37
04007,46
04009,13
04011,5
04012,25
04013,2024
04015,192
04017,100
80004,0
04019,469
04021,224
04023,18
90004,0
04025,180
04027,141
05001,10
05003,4
05005,31
05007,85
05009,21
05011,3
05013,0
05015,14
05017,6
05019,8
05021,12
05023,17
05025,2
05027,9
05029,10
05031,56
05033,41
05035,19
05037,4
05039,9
05041,2
05043,5
05045,60
05047,10
05049,5
05051,42
05053,6
05055,29
05057,8
05059,9
05061,9
05063,23
05065,7
05067,7
05069,27
05071,5
05073,0
05075,6
05077,1
05079,6
05081,3
05083,14
05085,43
05087,15
05089,13
05091,6
05093,29
05095,5
05097,1
05099,2
05101,1
05103,4
05105,6
05107,10
05109,1
05111,11
05113,5
05115,27
05117,9
05119,152
05121,12
05125,49
05127,4
05129,10
05131,71
05133,6
05135,20
05123,11
05137,11
90005,0
05139,11
05141,11
05143,71
05145,56
05147,2
05149,14
06001,200
06003,0
06005,13
06007,27
06009,17
06011,0
06013,157
06015,2
06017,19
06019,242
06021,1
06023,16
06025,75
06027,7
06029,199
06031,42
06033,11
06035,6
06037,3079
06039,33
06041,23
06043,2
06045,18
06047,85
06049,1
06051,1
06053,50
06055,22
06057,11
06059,719
80006,0
06061,88
06063,1
06065,678
06067,385
06069,13
06071,521
06073,549
06075,109
06077,158
06079,74
06081,75
06083,85
06085,211
06087,26
06089,67
06091,4
06093,13
06095,51
06097,58
06099,169
06101,21
06103,19
06105,3
06107,140
06109,84
90006,1
06111,214
06113,29
06115,14
08001,192
08003,4
08005,148
08007,5
08009,1
08011,5
08013,45
08014,14
08015,4
08017,1
08019,4
08021,6
08023,2
08025,1
08027,4
08029,7
08031,171
08033,2
08035,49
08037,3
08041,184
08039,6
08043,17
08045,10
08047,1
08049,3
08051,1
08053,0
08055,4
08057,0
08059,193
08061,2
08063,5
08067,13
08065,0
08069,59
08071,6
08073,1
08075,9
08077,57
08079,0
08081,3
08083,13
08085,12
08087,7
08089,9
08091,0
80008,0
08093,6
08095,3
08097,0
08099,4
08101,97
08103,2
08105,4
08107,0
08109,2
08111,0
08113,1
08115,2
08117,2
08119,5
90008,0
08121,1
08123,88
08125,1
09001,282
09003,318
09005,72
09007,53
09009,389
09011,103
09013,49
90009,1
09015,43
10001,109
10003,198
10005,116
90010,0
88888,0
11001,107
12001,303
12003,70
12005,373
12007,80
12009,1059
12011,2467
12013,42
12015,272
12017,462
12019,418
12021,419
12023,176
12027,44
12029,29
12031,1671
12033,513
12035,197
12037,29
12039,73
12041,31
12043,16
12045,23
12047,27
12049,73
12051,71
12053,527
12055,266
12057,1551
12059,33
12061,321
12063,97
12065,11
12067,25
12069,758
12071,1027
12073,262
12075,65
12077,9
12079,24
12081,656
12083,1011
12085,253
12086,3848
12087,63
12089,145
12091,275
12093,76
12095,1260
12097,533
12099,1960
12101,979
12103,1476
12105,1415
12107,245
12113,285
12115,644
12117,506
12109,297
12111,480
12119,222
12121,136
12123,51
90012,-24349
12125,37
12127,940
12129,63
12131,111
12133,48
13001,9
13003,5
13005,8
13007,0
13009,19
13011,10
13013,38
13015,53
13017,5
13019,6
13021,70
13023,5
13025,12
13027,6
13029,8
13031,24
13033,13
13035,22
13037,0
13039,10
13043,1
13045,50
13047,30
13049,3
13051,78
13053,0
13055,16
13057,84
13059,24
13061,1
13063,101
13065,2
13067,215
13069,6
13071,22
13073,35
13075,4
13077,63
13079,5
13081,12
13083,6
13085,17
13089,172
13087,13
13091,7
13093,4
13095,42
13097,58
13099,2
13101,0
13103,10
13105,11
13107,7
13109,7
13111,22
13113,48
13115,81
13117,53
13119,9
13121,235
13123,21
13125,4
13127,44
13129,44
13131,12
13133,6
13135,193
13137,26
13139,89
13141,4
13143,26
13145,10
13147,10
13149,5
13151,109
13153,42
13155,3
13157,40
13159,8
13161,3
13163,11
13165,3
13167,6
13169,6
13171,10
13173,3
13175,22
13177,12
13179,7
13181,2
13183,3
13185,35
13187,15
13193,2
13195,10
13197,8
13189,14
13191,2
13199,14
13201,6
13205,9
13207,11
13209,4
13211,6
13213,25
13215,76
13217,51
13219,18
13221,5
80013,202
13223,59
13225,5
13227,31
13229,15
13231,13
13233,20
13235,2
13237,11
13239,0
13241,14
13243,3
13245,71
13247,40
13249,0
13251,4
13253,2
13255,48
13257,14
13259,1
13261,11
13263,1
13265,0
13267,12
13269,7
13271,5
13273,2
13275,18
13277,20
13279,13
13281,12
13283,4
13285,38
13287,3
13289,5
90013,12
13291,12
13293,34
13295,46
13297,50
13299,17
13301,2
13303,6
13305,19
13307,0
13309,2
13311,17
13313,45
13315,5
13317,8
13319,5
13321,12
99999,0
66,52
15001,28
15003,177
15007,11
15009,23
80015,1
90015,0
16001,124
16003,0
16005,23
16007,0
16009,10
16011,14
16013,3
16015,2
16017,31
16019,32
16021,7
16023,2
16025,1
16027,64
16029,1
16031,7
16033,0
16035,3
16037,2
16039,12
16041,2
16043,6
16045,5
16047,8
16049,6
16051,9
16053,7
16055,81
16057,7
16059,2
16061,5
16063,1
16065,6
16067,5
16069,25
16071,1
16073,7
16075,10
16077,3
16079,7
16081,0
16083,36
90016,0
16085,3
16087,9
17001,31
17003,2
17005,1
17007,22
17009,2
17011,19
17013,1
17015,5
17017,4
17019,61
17021,21
17023,5
17025,8
17027,5
17029,20
17031,2065
17033,7
17035,7
17039,4
17037,33
17041,15
17043,232
17045,5
17047,6
17049,18
17051,21
17053,5
17055,33
17057,31
17059,6
17061,3
17063,32
17065,4
17067,9
17069,3
17071,2
17073,21
17075,21
17077,15
17079,5
17081,20
17083,10
17085,3
17087,6
17089,149
17091,64
17093,28
17095,23
17099,54
17097,183
17101,3
17103,8
17105,21
17107,6
17115,57
17117,16
17119,119
17121,41
17123,6
17125,6
17127,8
17109,14
17111,94
17113,42
17129,4
17131,8
17133,23
17135,15
17137,21
17139,5
17141,18
80017,0
17143,88
17145,13
17147,6
17149,7
17151,1
17153,3
17155,2
17157,14
17159,6
17161,60
17165,18
17167,65
17169,3
17171,3
17173,16
17163,78
17175,3
17177,29
17179,71
90017,942
17181,11
17183,46
17185,8
17187,8
17189,4
17191,15
17193,14
17195,26
17197,251
17199,41
17201,134
17203,13
18001,18
18003,165
18005,37
18007,1
18009,15
18011,35
18013,9
18015,13
18017,16
18019,65
18021,18
18023,25
18025,4
18027,23
18033,22
18029,14
18031,18
18035,73
18037,12
18039,95
18041,27
18043,33
18045,20
18047,7
18049,14
18051,12
18053,55
18055,23
18057,92
18059,47
18061,22
18063,93
18065,39
18067,74
18069,24
18071,21
18073,31
18075,12
18077,29
18079,25
18081,78
18083,23
18085,45
18087,7
18091,65
18089,343
18093,41
18095,109
18097,450
18099,24
18101,4
18103,26
18105,35
18107,25
18109,48
18111,10
18113,15
18115,4
18117,11
18119,25
18121,11
18123,8
18125,1
18127,97
18129,9
18131,14
18133,29
18135,21
18137,28
18139,20
18143,15
18145,20
18147,2
18141,121
18149,10
18151,18
18153,12
18155,3
18157,66
18159,11
90018,239
18161,2
18163,74
18165,11
18167,62
18169,19
18171,3
18173,21
18175,16
18177,40
18179,9
18181,16
18183,12
19001,6
19003,2
19005,2
19007,6
19009,1
19011,10
19013,55
19015,8
19017,5
19019,12
19021,5
19023,3
19025,2
19027,7
19029,3
19031,5
19033,20
19035,10
19037,7
19039,4
19041,2
19043,8
19045,19
19047,3
19049,14
19051,3
19053,6
19055,7
19057,18
19059,11
19061,28
19063,4
19065,14
19067,7
19069,5
19071,7
19073,1
19075,3
19077,3
19079,10
19081,4
19083,3
19085,10
19087,8
19089,6
19091,4
19093,5
19095,11
19097,15
19099,12
19101,6
19103,22
19105,4
19107,5
19109,6
19111,27
19113,108
19115,6
19117,2
19119,4
19121,10
19123,15
19125,14
19127,12
19129,11
19131,2
19133,5
19135,5
19137,4
19139,10
19141,3
19143,4
19145,5
19147,5
19149,6
19151,2
19153,181
19155,52
19157,13
19159,2
19161,4
19163,62
19165,6
19167,7
19169,17
19171,6
19173,1
90019,0
19175,5
19177,2
19179,31
19181,21
19183,6
19185,7
19187,25
19189,3
19191,1
19193,39
19195,2
19197,7
20001,19
20003,4
20005,3
20007,1
20009,14
20011,2
20013,5
20015,22
20017,1
20019,2
20021,5
20023,0
20025,0
20027,2
20029,3
20031,8
20033,2
20035,16
20037,15
20039,4
20041,10
20043,1
20045,19
20047,0
20049,1
20051,3
20053,0
20055,4
20057,8
20059,11
20061,11
20063,1
20065,0
20067,2
20069,0
20071,0
20073,3
20075,1
20077,1
20079,17
20081,2
20083,0
20085,6
20087,5
20089,1
20091,150
