FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
01079,Lawrence County,AL,58.0,25831.0,24,2797
41035,Klamath County,OR,61.0,53550.0,55,5787
72041,Cidra Municipio,PR,83.7,31103.0,0,6705
48193,Hamilton County,TX,66.3,6622.0,4,535
21119,Knott County,KY,55.4,11867.0,19,1737
48113,Dallas County,TX,73.1,1955160.0,1027,176067
48267,Kimble County,TX,51.6,3555.0,4,302
37123,Montgomery County,NC,53.2,21266.0,23,2645
46063,Harding County,SD,24.7,988.0,0,39
37149,Polk County,NC,49.9,17478.0,16,1514
37043,Clay County,NC,65.0,9352.0,9,992
08039,Elbert County,CO,44.3,21051.0,9,1858
13143,Haralson County,GA,42.2,22637.0,47,1384
20197,Wabaunsee County,KS,57.3,5339.0,4,458
40153,Woodward County,OK,47.6,15345.0,21,1071
29075,Gentry County,MO,54.9,4924.0,4,527
48395,Robertson County,TX,55.0,13074.0,9,1082
48359,Oldham County,TX,44.3,1618.0,0,103
19019,Buchanan County,IA,66.9,15684.0,16,1290
21137,Lincoln County,KY,50.2,18735.0,33,2305
48103,Crane County,TX,47.6,3410.0,5,434
17027,Clinton County,IL,69.8,29653.0,5,4271
42103,Pike County,PA,66.1,46099.0,28,3879
51087,Henrico County,VA,64.2,256660.0,201,30648
27017,Carlton County,MN,74.4,27883.0,20,3656
48487,Wilbarger County,TX,65.1,9948.0,16,884
21215,Spencer County,KY,34.1,15004.0,18,2264
18093,Lawrence County,IN,60.7,35692.0,59,3684
28085,Lincoln County,MS,47.3,26191.0,22,2858
72081,Lares Municipio,PR,95.0,19987.0,0,5116
27051,Grant County,MN,66.0,4623.0,0,430
21093,Hardin County,KY,77.1,83820.0,102,13778
51015,Augusta County,VA,56.4,61550.0,72,8040
13107,Emanuel County,GA,51.4,17032.0,16,1410
53073,Whatcom County,WA,80.7,185293.0,110,22616
21149,McLean County,KY,62.9,7039.0,12,960
17169,Schuyler County,IL,64.6,5535.0,3,788
06035,Lassen County,CA,44.2,25291.0,10,2656
08091,Ouray County,CO,72.4,4196.0,0,358
39147,Seneca County,OH,59.2,43203.0,28,3176
25015,Hampshire County,MA,70.3,137637.0,84,17463
37033,Caswell County,NC,59.2,18383.0,13,2158
08087,Morgan County,CO,60.3,21551.0,13,1737
19095,Iowa County,IA,74.9,12413.0,14,1261
37187,Washington County,NC,60.0,9274.0,12,1457
28057,Itawamba County,MS,42.6,18362.0,32,2496
28051,Holmes County,MS,70.8,12752.0,14,1659
38027,Eddy County,ND,63.8,1751.0,0,173
22003,Allen Parish,LA,45.0,19893.0,24,3147
35049,Santa Fe County,NM,90.8,123964.0,110,16100
41061,Union County,OR,58.8,20978.0,19,1731
47099,Lawrence County,TN,47.0,33151.0,48,4371
30105,Valley County,MT,57.6,5726.0,6,363
47189,Wilson County,TN,63.5,110755.0,92,13061
21205,Rowan County,KY,59.4,19690.0,24,2605
05035,Crittenden County,AR,56.4,34983.0,37,4732
41039,Lane County,OR,76.6,312552.0,183,33844
26021,Berrien County,MI,67.1,120265.0,179,11278
20045,Douglas County,KS,67.6,100233.0,32,14271
27145,Stearns County,MN,69.6,123713.0,62,16562
12107,Putnam County,FL,50.7,58753.0,268,5139
38099,Walsh County,ND,69.4,8197.0,0,881
48087,Collingsworth County,TX,43.9,2190.0,5,194
39071,Highland County,OH,47.6,32974.0,39,3325
19015,Boone County,IA,73.6,20698.0,12,1440
37027,Caldwell County,NC,56.5,65842.0,78,8446
17067,Hancock County,IL,59.3,14009.0,12,1197
47063,Hamblen County,TN,52.5,50013.0,77,6113
27073,Lac qui Parle County,MN,67.6,5259.0,3,502
39139,Richland County,OH,54.5,95049.0,92,8574
18027,Daviess County,IN,45.3,23504.0,32,2130
29051,Cole County,MO,62.7,59766.0,56,6027
34041,Warren County,NJ,78.7,84914.0,67,9175
17039,De Witt County,IL,62.6,12346.0,8,1710
48227,Howard County,TX,46.6,28652.0,32,1618
46055,Haakon County,SD,53.0,1456.0,1,115
37125,Moore County,NC,73.7,79328.0,72,10923
37131,Northampton County,NC,56.1,16132.0,21,1907
72017,Barceloneta Municipio,PR,81.2,19327.0,0,3724
41013,Crook County,OR,61.0,19581.0,23,3012
47159,Smith County,TN,41.2,15662.0,23,1855
46061,Hanson County,SD,58.0,2410.0,1,156
20093,Kearny County,KS,69.5,2734.0,5,264
48241,Jasper County,TX,45.9,27090.0,22,1741
48439,Tarrant County,TX,68.5,1555283.0,933,190210
46021,Campbell County,SD,55.7,1150.0,1,60
28141,Tishomingo County,MS,47.6,15220.0,24,2262
21201,Robertson County,KY,45.4,1676.0,3,259
13301,Warren County,GA,57.3,4196.0,4,282
48451,Tom Green County,TX,62.1,90867.0,70,12517
47113,Madison County,TN,65.5,76137.0,73,11889
48183,Gregg County,TX,56.5,92074.0,106,5732
27111,Otter Tail County,MN,60.3,45951.0,28,3622
13117,Forsyth County,GA,64.2,178574.0,103,19002
13183,Long County,GA,27.2,14239.0,6,1052
51735,Poquoson city,VA,53.0,9524.0,7,1015
05113,Polk County,AR,44.3,15424.0,21,1098
47185,White County,TN,52.5,21387.0,15,2413
32033,White Pine County,NV,63.9,7638.0,3,362
47129,Morgan County,TN,61.8,17364.0,30,2180
16087,Washington County,ID,49.6,7888.0,10,504
35043,Sandoval County,NM,82.0,113218.0,146,16089
16031,Cassia County,ID,57.5,16443.0,8,1011
33011,Hillsborough County,NH,73.2,332922.0,166,41543
48357,Ochiltree County,TX,52.3,6785.0,9,593
27131,Rice County,MN,72.2,52435.0,36,6396
21015,Boone County,KY,75.7,99065.0,73,14852
01111,Randolph County,AL,41.0,17925.0,8,1575
53045,Mason County,WA,70.6,53764.0,52,6463
26093,Livingston County,MI,70.2,151981.0,110,16766
17161,Rock Island County,IL,69.0,110321.0,80,11575
21047,Christian County,KY,47.2,51399.0,40,5720
31031,Cherry County,NE,43.4,4352.0,5,93
37057,Davidson County,NC,57.8,131285.0,95,16667
08003,Alamosa County,CO,67.4,12308.0,6,1863
38001,Adams County,ND,57.7,1789.0,2,146
01005,Barbour County,AL,54.1,19604.0,18,2020
48049,Brown County,TX,51.3,29693.0,53,4582
37155,Robeson County,NC,52.6,98425.0,89,16243
18159,Tipton County,IN,55.1,12064.0,20,890
51095,James City County,VA,65.6,61414.0,24,8430
37109,Lincoln County,NC,58.8,67981.0,63,8525
54003,Berkeley County,WV,66.7,91718.0,95,13730
17139,Moultrie County,IL,55.7,10837.0,6,1266
40117,Pawnee County,OK,60.5,12550.0,16,1297
13271,Telfair County,GA,33.3,13318.0,12,790
