FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
23015,Lincoln County,ME,87.7,28812.0,18,2034
40007,Beaver County,OK,39.8,3920.0,0,274
39161,Van Wert County,OH,53.0,21715.0,22,1569
36019,Clinton County,NY,78.6,66064.0,23,6376
20053,Ellsworth County,KS,62.9,4985.0,0,405
19101,Jefferson County,IA,52.9,15472.0,6,897
35007,Colfax County,NM,70.1,9803.0,9,646
27161,Waseca County,MN,66.8,14293.0,4,1124
05087,Madison County,AR,51.2,12727.0,15,953
41025,Harney County,OR,54.0,5907.0,2,322
40067,Jefferson County,OK,52.8,4551.0,3,300
48483,Wheeler County,TX,48.1,3772.0,5,178
31155,Saunders County,NE,61.1,16316.0,0,1189
48425,Somervell County,TX,54.2,7124.0,9,526
51161,Roanoke County,VA,56.7,75668.0,60,5829
28159,Winston County,MS,57.6,13935.0,9,1903
56043,Washakie County,WY,52.7,6021.0,6,457
72039,Ciales Municipio,PR,88.0,12903.0,0,1050
46075,Jones County,SD,81.6,708.0,1,25
21055,Crittenden County,KY,49.2,6865.0,7,597
18073,Jasper County,IN,56.6,25822.0,31,1947
38051,McIntosh County,ND,51.3,2036.0,0,120
22079,Rapides Parish,LA,60.2,97737.0,70,9687
45003,Aiken County,SC,53.2,134333.0,55,12029
18097,Marion County,IN,66.3,727665.0,450,59924
38063,Nelson County,ND,80.6,2322.0,2,136
26005,Allegan County,MI,62.2,89983.0,51,6543
28015,Carroll County,MS,46.9,8090.0,9,692
35031,McKinley County,NM,93.4,51282.0,31,7893
01055,Etowah County,AL,48.9,80492.0,70,7984
54043,Lincoln County,WV,59.2,15872.0,12,1922
22033,East Baton Rouge Parish,LA,65.6,339986.0,117,39962
21049,Clark County,KY,63.4,28215.0,5,3503
21015,Boone County,KY,74.2,99065.0,31,11665
48229,Hudspeth County,TX,80.8,3869.0,2,185
22113,Vermilion Parish,LA,47.2,44521.0,21,4300
48393,Roberts County,TX,42.7,656.0,1,33
37051,Cumberland County,NC,72.8,252655.0,44,29591
31081,Hamilton County,NE,54.3,7073.0,0,655
22087,St. Bernard Parish,LA,59.4,34744.0,9,3346
47135,Perry County,TN,49.7,6283.0,7,589
22041,Franklin Parish,LA,46.5,14951.0,27,2331
48503,Young County,TX,51.3,13749.0,13,759
35039,Rio Arriba County,NM,88.0,29944.0,26,3297
39019,Carroll County,OH,52.3,21293.0,21,986
45013,Beaufort County,SC,73.0,157061.0,40,13782
29151,Osage County,MO,47.5,10513.0,3,725
39085,Lake County,OH,73.8,184715.0,122,7444
35001,Bernalillo County,NM,77.9,534057.0,306,46007
05095,Monroe County,AR,63.8,5328.0,5,656
05059,Hot Spring County,AR,48.7,26808.0,9,2748
48375,Potter County,TX,57.1,85401.0,67,10810
31107,Knox County,NE,59.9,6305.0,0,356
48217,Hill County,TX,50.7,28169.0,15,1944
40151,Woods County,OK,48.7,6992.0,3,551
48477,Washington County,TX,59.4,28217.0,9,2144
18015,Carroll County,IN,42.9,15790.0,13,920
26137,Otsego County,MI,65.5,19545.0,17,1241
33011,Hillsborough County,NH,69.6,332922.0,105,30439
17065,Hamilton County,IL,47.2,6343.0,4,621
40137,Stephens County,OK,57.3,33209.0,29,2371
55013,Burnett County,WI,64.7,12730.0,5,892
48103,Crane County,TX,46.7,3410.0,5,385
72145,Vega Baja Municipio,PR,85.8,40987.0,0,4050
13211,Morgan County,GA,54.8,14938.0,6,925
48233,Hutchinson County,TX,44.3,15631.0,25,1137
18109,Morgan County,IN,63.5,54681.0,48,4761
18057,Hamilton County,IN,82.8,248016.0,92,23339
41029,Jackson County,OR,66.8,175805.0,82,15348
02130,Ketchikan Gateway Borough,AK,74.3,10884.0,6,1384
53011,Clark County,WA,74.0,373555.0,143,34442
21213,Simpson County,KY,61.0,14162.0,12,1823
30085,Roosevelt County,MT,91.0,7320.0,0,856
01115,St. Clair County,AL,47.1,69336.0,29,7052
51119,Middlesex County,VA,69.8,8888.0,12,654
45031,Darlington County,SC,58.1,51956.0,56,5896
48025,Bee County,TX,58.5,25742.0,13,1919
46011,Brookings County,SD,58.1,27836.0,9,2280
48357,Ochiltree County,TX,51.5,6785.0,7,302
02180,Nome Census Area,AK,84.7,6544.0,2,2959
51097,King and Queen County,VA,57.8,5795.0,2,356
17167,Sangamon County,IL,73.9,151706.0,65,20712
37123,Montgomery County,NC,50.9,21266.0,15,2320
46079,Lake County,SD,57.1,10220.0,5,459
13277,Tift County,GA,48.6,30600.0,20,2748
27055,Houston County,MN,70.0,14533.0,0,1249
27127,Redwood County,MN,64.9,11389.0,3,804
51117,Mecklenburg County,VA,49.7,24881.0,9,2089
13073,Columbia County,GA,60.5,117374.0,35,8593
48077,Clay County,TX,55.6,8403.0,5,353
20089,Jewell County,KS,55.4,2293.0,1,156
50005,Caledonia County,VT,39.9,24255.0,3,1308
42055,Franklin County,PA,57.7,120801.0,112,10222
49051,Wasatch County,UT,73.0,23642.0,2,3443
40049,Garvin County,OK,57.6,20882.0,22,1798
38029,Emmons County,ND,40.7,2608.0,1,110
47085,Humphreys County,TN,50.0,14586.0,9,1254
17063,Grundy County,IL,67.7,38268.0,32,2769
32003,Clark County,NV,66.7,1745917.0,1018,144970
23003,Aroostook County,ME,76.5,54809.0,32,4226
28047,Harrison County,MS,66.0,158574.0,78,17165
37041,Chowan County,NC,65.8,11164.0,10,1584
02188,Northwest Arctic Borough,AK,75.5,4862.0,2,1709
06011,Colusa County,CA,74.0,15706.0,0,1083
26093,Livingston County,MI,69.5,151981.0,75,12222
47057,Grainger County,TN,58.3,18657.0,12,1880
55091,Pepin County,WI,56.6,5768.0,3,452
26065,Ingham County,MI,64.6,234887.0,140,20879
27159,Wadena County,MN,62.4,10142.0,8,866
48303,Lubbock County,TX,57.8,237044.0,190,27528
42079,Luzerne County,PA,71.9,254741.0,229,18789
20149,Pottawatomie County,KS,50.2,17322.0,10,2031
12121,Suwannee County,FL,45.4,35076.0,136,3414
05025,Cleveland County,AR,61.6,6240.0,2,709
30065,Musselshell County,MT,40.6,3778.0,0,142
35037,Quay County,NM,58.5,6488.0,17,392
19161,Sac County,IA,65.0,7509.0,4,515
19079,Hamilton County,IA,74.4,11411.0,10,698
02100,Haines Borough,AK,76.5,2074.0,0,330
36005,Bronx County,NY,85.4,1069544.0,768,122761
72029,Canovanas Municipio,PR,80.3,36116.0,0,2100
19057,Des Moines County,IA,61.7,30179.0,18,1566
13053,Chattahoochee County,GA,95.0,8447.0,0,477
51195,Wise County,VA,54.5,30248.0,34,3443
29187,St. Francois County,MO,51.5,53088.0,42,5040
48145,Falls County,TX,55.3,13671.0,9,783
21007,Ballard County,KY,45.5,6239.0,1,414
21095,Harlan County,KY,56.2,20033.0,22,2724
37019,Brunswick County,NC,68.1,121795.0,47,10878
54041,Lewis County,WV,67.3,12565.0,13,1563
48479,Webb County,TX,95.0,186996.0,77,32135
48345,Motley County,TX,35.3,963.0,3,46
47163,Sullivan County,TN,64.5,128159.0,118,14097
72115,Quebradillas Municipio,PR,87.7,18766.0,0,1749
30071,Phillips County,MT,53.6,3015.0,1,157
51760,Richmond city,VA,48.7,190750.0,70,13925
20201,Washington County,KS,64.4,4182.0,3,373
51520,Bristol city,VA,79.5,13391.0,13,1623
48115,Dawson County,TX,43.2,9457.0,11,780
40039,Custer County,OK,58.2,21817.0,23,1987
