FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed,Population,Land_area,Population Density
48097,Cooke County,TX,47.4,31512.0,25,1836,41668,874.76,47.63363665462527
42041,Cumberland County,PA,79.8,202103.0,180,15425,259469,545.46,475.6884097825688
24017,Charles County,MD,81.2,124396.0,83,10215,166617,457.75,363.99126160568
30089,Sanders County,MT,45.5,10004.0,11,540,12400,2760.52,4.491907321808935
48417,Shackelford County,TX,47.4,2519.0,3,130,3105,914.29,3.396077830885168
27115,Pine County,MN,57.0,23896.0,19,1676,28876,1411.29,20.460713248163028
17177,Stephenson County,IL,72.4,35034.0,33,3722,44630,564.52,79.05831502869695
51720,Norton city,VA,39.9,3121.0,2,567,3687,7.48,492.91443850267376
20181,Sherman County,KS,54.6,4449.0,8,328,5927,1056.07,5.612317365326162
28099,Neshoba County,MS,50.8,21050.0,31,3692,29087,570.14,51.01729399796541
29015,Benton County,MO,56.0,16074.0,35,1229,19394,704.06,27.54594778854075
05045,Faulkner County,AR,59.5,97276.0,80,13055,123498,647.88,190.61863308020003
48107,Crosby County,TX,57.9,4242.0,4,462,5133,900.2,5.702066207509442
48325,Medina County,TX,66.3,39775.0,27,3162,50748,1325.36,38.28997404478783
56039,Teton County,WY,95.0,19264.0,2,4279,23331,3995.38,5.839494616281805
47091,Johnson County,TN,43.3,14782.0,31,984,17948,298.48,60.1313320825516
05035,Crittenden County,AR,56.0,34983.0,37,4330,48163,609.76,78.9868144843873
39015,Brown County,OH,50.9,33493.0,34,3265,43676,490.02,89.1310558752704
13271,Telfair County,GA,33.2,13318.0,10,757,12477,437.3,28.53190029727876
25003,Berkshire County,MA,62.3,104096.0,86,14503,129026,926.83,139.2121532535632
21003,Allen County,KY,48.8,16412.0,26,2326,20588,344.34,59.78974269617239
28069,Kemper County,MS,51.5,7979.0,6,700,8988,766.18,11.73092484794696
31023,Butler County,NE,62.1,6173.0,7,548,8369,584.91,14.308184165085228
46011,Brookings County,SD,59.4,27836.0,11,2415,34375,792.21,43.391272516125774
12073,Leon County,FL,63.4,238914.0,334,30189,292198,666.85,438.1765014620979
08029,Delta County,CO,56.8,25048.0,16,1484,31196,1142.05,27.31579177794317
23007,Franklin County,ME,72.5,24862.0,15,2425,29456,1696.61,17.361680056111894
41071,Yamhill County,OR,72.8,83723.0,66,8269,107722,715.86,150.4791439666974
31121,Merrick County,NE,52.1,6015.0,2,436,7668,484.88,15.81422207556509
17059,Gallatin County,IL,64.8,3866.0,7,519,4946,323.07,15.309375677097844
18105,Monroe County,IN,63.7,125233.0,50,11117,139718,394.51,354.15578819294825
38045,LaMoure County,ND,58.2,3173.0,2,240,4093,1145.94,3.5717402307276123
05041,Desha County,AR,72.5,8491.0,5,992,11395,768.15,14.834342250862464
46067,Hutchinson County,SD,67.9,5444.0,7,397,7427,812.9,9.136425144544225
31025,Cass County,NE,72.0,20092.0,23,1880,26598,557.45,47.71369629563189
20027,Clay County,KS,72.6,6132.0,7,554,8117,645.3,12.578645591197894
21113,Jessamine County,KY,63.7,41273.0,32,6114,52991,172.12,307.872414594469
31175,Valley County,NE,40.4,3208.0,4,145,4059,568.05,7.145497755479272
21027,Breckinridge County,KY,58.7,15872.0,28,1770,20432,567.17,36.02447238041505
37185,Warren County,NC,64.5,16200.0,10,1760,18642,428.46,43.50931242122952
21219,Todd County,KY,54.7,9037.0,6,991,12243,374.5,32.691588785046726
29051,Cole County,MO,62.5,59766.0,55,5551,77279,393.75,196.264126984127
05079,Lincoln County,AR,39.4,10905.0,10,1011,12941,561.52,23.046374127368573
21231,Wayne County,KY,50.1,16211.0,21,2455,19555,458.17,42.68066438221621
27097,Morrison County,MN,59.5,25633.0,18,2235,34010,1125.06,30.22949887117132
20017,Chase County,KS,54.6,2126.0,1,209,2572,773.06,3.327038004812046
22025,Catahoula Parish,LA,49.1,7482.0,7,829,8906,708.03,12.578563055237773
40117,Pawnee County,OK,60.1,12550.0,16,1237,15553,567.96,27.383970702162124
41039,Lane County,OR,76.4,312552.0,165,30029,382971,4553.12,84.11177390448748
54055,Mercer County,WV,63.9,46591.0,64,6465,59664,418.99,142.39957994224204
24025,Harford County,MD,79.8,198836.0,178,13053,260924,437.09,596.9571484133703
01073,Jefferson County,AL,69.5,508723.0,353,61415,674721,1111.28,607.1566121949464
40081,Lincoln County,OK,49.9,26666.0,23,2648,33458,952.31,35.133517447049805
01039,Covington County,AL,46.9,28887.0,32,2245,37570,1030.46,36.45944529627545
41005,Clackamas County,OR,77.0,329370.0,212,31267,421401,1870.32,225.30957269344285
40093,Major County,OK,64.4,5663.0,7,992,7782,954.99,8.148776426978293
40127,Pushmataha County,OK,44.4,8668.0,5,795,10812,1395.84,7.745873452544704
02164,Lake and Peninsula Borough,AK,67.3,1136.0,0,319,1476,23652.01,0.0624048442394536
48501,Yoakum County,TX,55.9,5864.0,7,506,7694,799.71,9.620987608007905
48359,Oldham County,TX,44.1,1618.0,0,98,1758,1500.53,1.1715860395993416
10001,Kent County,DE,66.2,139553.0,162,19002,181851,586.18,310.2306458766932
16003,Adams County,ID,51.3,3549.0,1,141,4379,1363.06,3.212624535970537
36027,Dutchess County,NY,78.4,239328.0,125,23613,295911,795.63,371.9203649937785
13001,Appling County,GA,45.9,13873.0,20,1228,18444,507.08,36.372958901948415
17121,Marion County,IL,56.5,28576.0,46,3618,37729,572.36,65.91830316583967
01091,Marengo County,AL,65.7,14616.0,15,1710,19323,976.88,19.78032102202932
18079,Jennings County,IN,49.6,21290.0,39,2001,27613,376.58,73.32572096234532
19193,Woodbury County,IA,69.5,76401.0,57,7149,105941,872.83,121.3764421479555
29199,Scotland County,MO,35.1,3488.0,2,167,4716,436.67,10.799917557881235
12037,Franklin County,FL,55.3,10258.0,32,832,12451,534.73,23.28464832719316
42087,Mifflin County,PA,61.3,35902.0,41,3150,46143,411.03,112.26187869498575
42089,Monroe County,PA,68.4,137154.0,113,12343,168327,608.29,276.721629485936
28007,Attala County,MS,66.6,13642.0,23,1883,17889,734.98,24.339437807831505
24013,Carroll County,MD,81.6,132087.0,91,7224,172891,447.6,386.2622877569258
12017,Citrus County,FL,64.2,127662.0,519,9101,153843,581.7,264.4713769984528
36059,Nassau County,NY,93.5,1065968.0,457,145634,1395774,284.72,4902.2688957572345
13239,Quitman County,GA,38.7,1869.0,0,160,2235,151.24,14.777836551176936
26119,Montmorency County,MI,62.1,7948.0,7,422,9153,546.66,16.743496871913074
48109,Culberson County,TX,63.3,1685.0,3,120,2188,3812.8,0.5738564834242551
42129,Westmoreland County,PA,66.0,285329.0,269,22604,354663,1027.55,345.1540071042772
39165,Warren County,OH,74.2,177873.0,105,18545,242337,401.31,603.8648426403529
18017,Cass County,IN,55.6,29067.0,26,2876,37870,412.16,91.88179347826086
51051,Dickenson County,VA,54.8,11517.0,12,1119,14124,330.53,42.73137082866912
20177,Shawnee County,KS,71.9,135735.0,163,18204,178909,544.02,328.8647476195728
46111,Sanborn County,SD,68.8,1759.0,3,122,2330,569.32,4.0926017002740105
23015,Lincoln County,ME,89.4,28812.0,24,2851,35237,455.82,77.30463779562108
29197,Schuyler County,MO,35.2,3461.0,4,190,4032,307.3,13.120728929384963
22051,Jefferson Parish,LA,76.8,337196.0,155,39806,440781,295.63,1490.9887359199
39111,Monroe County,OH,56.5,10931.0,13,919,13385,455.72,29.37110506451329
01087,Macon County,AL,54.4,14972.0,16,1313,19532,608.89,32.078043653205015
36025,Delaware County,NY,64.0,36926.0,15,3060,44308,1442.44,30.717395524250573
22023,Cameron Parish,LA,22.4,5444.0,0,307,5617,1284.89,4.371580446575193
05093,Mississippi County,AR,51.7,30043.0,52,4137,40685,900.57,45.17694349134437
48313,Madison County,TX,51.3,11250.0,9,886,13455,466.07,28.869054004763232
13185,Lowndes County,GA,48.9,89086.0,63,8843,118251,496.07,238.3756324712238
17147,Piatt County,IL,71.2,12738.0,7,1700,16673,439.2,37.962204007285976
20145,Pawnee County,KS,61.8,5364.0,3,494,6253,754.26,8.290244743192003
04017,Navajo County,AZ,86.5,81804.0,160,11524,106717,9950.42,10.724873924919752
45049,Hampton County,SC,75.1,15145.0,11,1773,18561,559.9,33.15056260046437
27075,Lake County,MN,75.0,8606.0,3,709,10905,2109.29,5.169986109069876
31015,Boyd County,NE,41.9,1564.0,3,97,1810,539.94,3.352224321220876
30079,Prairie County,MT,44.6,877.0,1,67,1088,1736.74,0.6264610707417345
40043,Dewey County,OK,33.7,3553.0,8,295,4484,999.48,4.486332893104414
28147,Walthall County,MS,49.8,11076.0,14,1344,13884,403.94,34.371441303163834
01043,Cullman County,AL,47.3,64956.0,57,7802,87866,734.84,119.57160742474552
55133,Waukesha County,WI,79.3,318146.0,264,41292,406978,549.57,740.5389668286114
19079,Hamilton County,IA,75.6,11411.0,13,732,15039,576.75,26.07542262678804
04011,Greenlee County,AZ,55.4,6929.0,6,737,9563,1843.13,5.188456592861057
01111,Randolph County,AL,40.8,17925.0,8,1470,21967,580.55,37.83825682542417
20001,Allen County,KS,55.7,9628.0,31,1317,12526,500.3,25.036977813312014
46077,Kingsbury County,SD,84.5,3778.0,2,316,5187,832.24,6.2325771412092665
51065,Fluvanna County,VA,70.5,21864.0,15,2146,27249,286.01,95.27289255620433
38031,Foster County,ND,64.7,2519.0,4,262,3397,635.45,5.34581792430561
42091,Montgomery County,PA,86.2,652435.0,349,50764,856553,483.04,1773.2548029148725
37105,Lee County,NC,68.7,47136.0,31,6095,63285,254.96,248.21540633824912
04019,Pima County,AZ,78.2,831972.0,682,84404,1043433,9187.04,113.57662533307789
08017,Cheyenne County,CO,43.0,1367.0,1,73,1748,1778.28,0.982972310322334
39057,Greene County,OH,72.6,134183.0,93,11648,167966,413.73,405.9797452444831
01089,Madison County,AL,72.5,292195.0,207,33994,388153,801.59,484.2288451702241
21147,McCreary County,KY,47.4,13525.0,18,1688,16888,426.8,39.5688847235239
22127,Winn Parish,LA,58.1,11040.0,6,1673,13755,950.09,14.477575808607606
26037,Clinton County,MI,67.3,62005.0,46,8199,79128,566.41,139.700923359404
13017,Ben Hill County,GA,47.8,12605.0,11,1021,17194,250.12,68.74300335838797
55019,Clark County,WI,49.9,24534.0,15,1738,34659,1209.82,28.648063348266685
18013,Brown County,IN,58.6,12486.0,11,653,15475,311.98,49.60253862427079
27065,Kanabec County,MN,50.0,12837.0,12,805,16032,521.59,30.736785597883397
51125,Nelson County,VA,65.3,12267.0,12,928,14775,470.86,31.378753769698
48141,El Paso County,TX,91.8,614819.0,601,62995,865657,1012.69,854.8094678529461
17073,Henry County,IL,69.0,38104.0,26,4477,49284,822.99,59.88408121605366
21091,Hancock County,KY,72.6,6559.0,6,840,9095,187.65,48.46789235278444
31145,Red Willow County,NE,45.1,8346.0,5,398,10702,716.99,14.92628906958256
22103,St. Tammany Parish,LA,69.3,198668.0,114,26528,264570,845.55,312.89693099166226
16049,Idaho County,ID,36.3,13446.0,10,619,16541,8477.35,1.9511993724453984
28139,Tippah County,MS,52.9,16711.0,23,2186,21815,457.82,47.64973133545935
46127,Union County,SD,62.8,12054.0,5,995,16811,460.54,36.50280105962565
