FIPS,Confirmed
01001,4637
01003,15503
01005,1796
01007,1885
01009,3644
01011,627
01013,1438
01015,8942
01017,2297
01019,1727
01021,3620
01023,1020
01025,2157
01027,1425
01029,909
01031,3774
01033,6466
01035,872
01037,1005
01039,2163
01041,1061
01043,7521
01045,3467
01047,2823
01049,5199
01051,6309
01053,2727
01055,8086
01057,1558
01059,3293
01061,1698
01063,501
01065,1399
01067,1250
01069,7172
01071,4384
01073,57828
01075,1110
01077,8207
01079,2579
01081,10650
01083,7770
01085,733
01087,1243
01089,31298
01091,1667
01093,2554
01095,7829
01097,34191
01099,1729
01101,16815
01103,12157
80001,0
01105,634
01107,1784
01109,2030
01111,1462
01113,2573
01117,19291
01115,7340
01119,1101
01121,7281
01123,3625
01125,18161
90001,0
01127,5957
01129,1114
01131,1024
01133,2621
02013,599
02016,730
02020,38809
02050,3024
02060,0
02164,272
02063,703
02066,244
02068,111
02070,769
02090,9702
02100,355
02110,3741
02122,5377
02130,1559
02150,2155
02158,1561
02170,9131
02180,3555
02185,1455
02188,2124
02195,164
02198,786
02220,995
02230,58
02240,599
90002,362
02261,0
02275,278
02282,237
02290,587
60,3472
04001,5881
04003,11148
04005,15148
04007,4744
04009,2959
04011,717
04012,1508
04013,391151
04015,18086
04017,10956
80004,0
04019,78859
04021,41084
04023,6080
90004,-1
04025,11225
04027,17927
05001,1983
05003,1718
05005,2072
05007,19707
05009,2429
05011,893
05013,324
05015,1479
05017,677
05019,1574
05021,1124
05023,2126
05025,722
05027,1789
05029,1914
05031,11785
05033,4238
05035,4170
05037,1625
05039,542
05041,981
05043,1593
05045,12548
05047,898
05049,645
05051,6445
05053,1380
05055,4643
05057,1312
05059,2941
05061,1040
05063,3211
05065,936
05067,1311
05069,5420
05071,1901
05073,395
05075,1564
05077,592
05079,993
05081,1051
05083,1236
05085,6431
05087,1051
05089,824
05091,2588
05093,4021
05095,667
05097,319
05099,674
05101,367
05103,1629
05105,795
05107,1261
05109,768
05111,2343
05113,1041
05115,5419
05117,598
05119,35913
05121,1412
05125,10231
05127,452
05129,655
05131,8243
05133,1670
05135,1249
05123,1940
05137,846
90005,19590
05139,2636
05141,961
05143,20125
05145,7237
05147,533
05149,1865
06001,131974
06003,12
06005,3129
06007,12987
06009,2865
06011,1113
06013,88898
06015,2094
06017,10344
06019,90362
06021,1829
06023,8579
06025,23524
06027,1769
06029,79578
06031,18542
06033,4294
06035,2242
06037,1136624
06039,15858
06041,14306
06043,1277
06045,6921
06047,23667
06049,178
06051,958
06053,38458
06055,12000
06057,6465
06059,228687
80006,0
06061,24699
06063,1119
06065,202457
06067,122946
06069,4886
06071,186051
06073,352183
06075,65612
06077,63437
06079,22341
06081,65442
06083,38927
06085,157518
06087,25224
06089,9663
06091,94
06093,2254
06095,36734
06097,39006
06099,40878
06101,7480
06103,4074
06105,406
06107,43177
06109,5010
90006,4842
06111,68540
06113,16112
06115,5762
08001,37563
08003,1405
08005,47576
08007,806
08009,251
08011,559
08013,23075
08014,4463
08015,1601
08017,72
08019,527
08021,533
08023,242
08025,726
08027,148
08029,1203
08031,50539
08033,66
08035,25315
08037,4219
08041,57508
08039,1404
08043,4502
08045,4649
08047,324
08049,913
08051,1185
08053,53
08055,501
08057,36
08059,38782
08061,53
08063,321
08067,4953
08065,514
08069,26350
08071,1161
08073,733
08075,2035
08077,11680
08079,73
08081,724
08083,1919
08085,2195
08087,1347
08089,895
08091,244
80008,0
08093,833
08095,257
08097,2233
08099,572
08101,13999
08103,378
08105,810
08107,2012
08109,326
08111,76
08113,622
08115,117
08117,2616
08119,1230
90008,11
08121,280
08123,24654
08125,382
09001,61476
09003,51999
09005,9164
09007,9068
