FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
41043,Linn County,OR,64.8,100853.0,17
42053,Forest County,PA,78.0,6468.0,3
51760,Richmond city,VA,48.6,190750.0,11
19167,Sioux County,IA,53.1,25468.0,2
06043,Mariposa County,CA,0.0,14425.0,1
20079,Harvey County,KS,54.3,26160.0,12
06009,Calaveras County,CA,60.7,38077.0,3
51097,King and Queen County,VA,57.3,5795.0,1
39001,Adams County,OH,42.4,21111.0,13
51031,Campbell County,VA,47.1,44243.0,12
37093,Hoke County,NC,47.9,40282.0,5
39035,Cuyahoga County,OH,72.3,980955.0,466
20135,Ness County,KS,60.3,2181.0,1
19001,Adair County,IA,57.5,5593.0,2
54109,Wyoming County,WV,60.6,16232.0,7
29123,Madison County,MO,47.6,9307.0,5
56037,Sweetwater County,WY,59.7,31375.0,8
19011,Benton County,IA,68.2,19698.0,7
06027,Inyo County,CA,0.0,14312.0,1
22017,Caddo Parish,LA,57.2,183879.0,38
48019,Bandera County,TX,56.1,19305.0,5
45043,Georgetown County,SC,61.0,51441.0,10
18161,Union County,IN,58.3,5588.0,2
22035,East Carroll Parish,LA,54.5,5223.0,2
32021,Mineral County,NV,66.6,3620.0,1
13189,McDuffie County,GA,55.2,16012.0,5
21195,Pike County,KY,60.7,45924.0,12
13093,Dooly County,GA,41.0,11188.0,1
12105,Polk County,FL,65.6,565542.0,1197
37051,Cumberland County,NC,71.4,252655.0,6
48301,Loving County,TX,0.0,120.0,0
72003,Aguada Municipio,PR,77.7,30580.0,0
37009,Ashe County,NC,59.3,22479.0,9
28027,Coahoma County,MS,61.9,16155.0,4
26045,Eaton County,MI,65.0,87545.0,23
72097,Mayaguez Municipio,PR,82.6,59649.0,0
42085,Mercer County,PA,60.5,88425.0,30
48051,Burleson County,TX,58.8,14427.0,1
48345,Motley County,TX,35.2,963.0,2
18145,Shelby County,IN,67.8,34623.0,9
55115,Shawano County,WI,61.6,32167.0,14
47057,Grainger County,TN,57.7,18657.0,7
05117,Prairie County,AR,50.3,6412.0,2
16085,Valley County,ID,68.1,9310.0,1
42129,Westmoreland County,PA,64.1,285329.0,120
21161,Mason County,KY,60.3,13123.0,10
17169,Schuyler County,IL,63.8,5535.0,2
16035,Clearwater County,ID,47.3,7374.0,1
42051,Fayette County,PA,64.9,104556.0,47
31141,Platte County,NE,57.5,24653.0,0
39161,Van Wert County,OH,52.4,21715.0,15
41033,Josephine County,OR,57.8,70421.0,30
21009,Barren County,KY,54.0,33861.0,13
13053,Chattahoochee County,GA,95.0,8447.0,0
13025,Brantley County,GA,31.8,14683.0,6
26105,Mason County,MI,69.8,23240.0,12
20209,Wyandotte County,KS,65.9,119705.0,38
48493,Wilson County,TX,62.3,38908.0,7
17079,Jasper County,IL,51.5,7381.0,3
39169,Wayne County,OH,54.5,87730.0,59
29083,Henry County,MO,53.8,17065.0,2
28079,Leake County,MS,57.3,16984.0,4
27121,Pope County,MN,65.3,8885.0,1
38095,Towner County,ND,54.6,1715.0,0
39147,Seneca County,OH,57.4,43203.0,15
20165,Rush County,KS,59.6,2418.0,1
24025,Harford County,MD,77.4,198836.0,117
21237,Wolfe County,KY,62.7,5505.0,3
29173,Ralls County,MO,33.6,8135.0,0
21225,Union County,KY,47.5,11777.0,6
55027,Dodge County,WI,58.7,70666.0,13
13253,Seminole County,GA,53.2,6406.0,1
12033,Escambia County,FL,64.7,252085.0,421
12065,Jefferson County,FL,66.9,11888.0,8
01063,Greene County,AL,58.6,6343.0,2
51133,Northumberland County,VA,60.6,10340.0,0
22003,Allen Parish,LA,43.5,19893.0,1
48427,Starr County,TX,89.7,43537.0,3
16075,Payette County,ID,40.4,17756.0,3
29009,Barry County,MO,52.8,27651.0,4
46097,Miner County,SD,66.2,1684.0,0
29067,Douglas County,MO,29.3,10276.0,2
49011,Davis County,UT,77.6,242674.0,31
17091,Kankakee County,IL,60.0,85161.0,53
27151,Swift County,MN,67.1,7112.0,2
17153,Pulaski County,IL,49.3,4199.0,1
18183,Whitley County,IN,56.9,26175.0,4
53003,Asotin County,WA,47.8,18058.0,3
24045,Wicomico County,MD,63.4,80899.0,44
30107,Wheatland County,MT,43.9,1673.0,0
54045,Logan County,WV,64.5,25443.0,6
48215,Hidalgo County,TX,84.4,589575.0,72
47149,Rutherford County,TN,62.7,250782.0,81
20191,Sumner County,KS,52.3,17283.0,2
51105,Lee County,VA,57.6,19101.0,7
48083,Coleman County,TX,44.1,6514.0,5
51167,Russell County,VA,53.6,21612.0,7
39011,Auglaize County,OH,48.7,34708.0,21
54107,Wood County,WV,67.6,66061.0,20
29045,Clark County,MO,37.2,5270.0,0
39159,Union County,OH,70.7,44532.0,9
20029,Cloud County,KS,57.3,6750.0,2
05125,Saline County,AR,56.6,94180.0,19
36025,Delaware County,NY,62.5,36926.0,7
46033,Custer County,SD,55.9,7646.0,1
22081,Red River Parish,LA,43.5,6469.0,0
29043,Christian County,MO,54.5,66365.0,9
26077,Kalamazoo County,MI,69.8,208176.0,60
39143,Sandusky County,OH,62.0,45583.0,27
42039,Crawford County,PA,56.5,67333.0,18
05047,Franklin County,AR,56.7,13756.0,4
40075,Kiowa County,OK,62.7,6616.0,3
27001,Aitkin County,MN,65.5,13268.0,4
48011,Armstrong County,TX,50.2,1461.0,0
40027,Cleveland County,OK,60.9,223796.0,33
