FIPS,Deaths
17035,7
17039,5
17037,38
17041,17
17043,254
17045,7
17047,7
17049,22
17051,28
17053,6
17055,35
17057,33
17059,7
17061,5
17063,35
17065,6
17067,12
17069,4
17071,3
17073,23
17075,24
17077,18
17079,8
17081,25
17083,14
17085,4
17087,6
17089,173
17091,73
17093,34
17095,30
17099,60
17097,223
17101,4
17103,10
17105,21
17107,8
17115,67
17117,20
17119,137
17121,44
17123,7
17125,7
17127,8
17109,18
17111,112
17113,46
17129,5
17131,9
17133,19
17135,20
17137,21
17139,5
17141,18
80017,0
17143,100
17145,15
17147,7
17149,7
17151,1
17153,4
17155,2
17157,17
17159,7
17161,68
17165,19
17167,75
17169,3
17171,3
17173,19
17163,88
17175,3
17177,32
17179,79
90017,1091
17181,12
17183,53
17185,8
17187,11
17189,5
17191,17
17193,14
17195,29
17197,278
17199,47
17201,153
17203,13
18001,18
18003,183
18005,41
18007,1
18009,16
18011,41
18013,10
18015,16
18017,20
18019,76
18021,18
18023,29
18025,7
18027,25
18033,23
18029,21
18031,22
18035,85
18037,13
18039,102
18041,29
18043,46
18045,23
18047,8
18049,15
18051,18
18053,59
18055,25
18057,107
18059,50
18061,25
18063,106
18065,42
18067,83
18069,27
18071,27
18073,35
18075,14
18077,29
18079,29
18081,91
18083,30
18085,49
18087,7
18091,76
18089,380
18093,49
18095,118
18097,502
18099,27
18101,4
18103,28
18105,41
18107,29
18109,59
18111,10
18113,16
18115,4
18117,13
18119,30
18121,12
18123,8
18125,2
18127,107
18129,12
18131,15
18133,32
18135,26
18137,34
18139,22
18143,19
18145,21
18147,4
18141,134
18149,13
18151,19
18153,16
18155,6
18157,80
18159,13
90018,272
18161,2
18163,89
18165,13
18167,75
18169,23
18171,9
18173,26
18175,20
18177,44
18179,9
18181,19
18183,13
19001,7
19003,2
19005,2
19007,9
19009,2
19011,14
19013,70
19015,10
19017,8
19019,13
19021,8
19023,5
19025,4
19027,8
19029,5
19031,8
19033,30
19035,11
19037,8
19039,6
19041,5
19043,8
19045,22
19047,5
19049,22
19051,6
19053,9
19055,7
19057,26
19059,12
19061,31
19063,4
19065,15
19067,8
19069,8
19071,8
19073,3
19075,5
19077,5
19079,12
19081,5
19083,7
19085,11
19087,16
19089,11
19091,5
19093,6
19095,14
19097,16
19099,17
19101,7
19103,34
19105,5
19107,6
19109,8
19111,33
19113,131
19115,8
19117,3
19119,6
19121,14
19123,18
19125,19
19127,16
19129,12
19131,3
19133,8
19135,6
19137,5
19139,12
19141,4
19143,4
19145,7
19147,6
19149,10
19151,2
19153,228
19155,65
19157,14
19159,2
19161,5
19163,79
19165,7
19167,8
19169,23
19171,10
19173,1
90019,0
19175,5
19177,3
19179,41
19181,23
19183,9
19185,7
19187,34
19189,5
19191,4
19193,53
19195,6
19197,9
20001,24
20003,6
20005,3
20007,1
20009,18
20011,5
20013,4
20015,38
20017,1
20019,2
20021,5
20023,0
20025,1
20027,4
20029,3
20031,10
20033,2
20035,19
20037,18
20039,6
20041,14
20043,3
20045,24
20047,0
20049,2
20051,2
20053,0
20055,10
20057,11
20059,13
20061,13
20063,1
20065,1
20067,3
20069,0
20071,0
20073,4
20075,1
20077,2
20079,21
20081,2
20083,0
20085,8
20087,6
20089,1
20091,179
20093,3
20095,4
20097,1
20099,8
20101,4
20103,32
20105,3
20107,5
20109,4
20111,22
20115,5
20117,6
20113,22
20119,5
20121,19
20123,4
20125,26
20127,6
20129,1
20131,2
20133,11
20135,1
20137,5
20139,9
20141,2
20143,2
80020,0
20145,3
20147,1
20149,9
20151,3
20153,1
20155,40
20157,2
20159,5
20161,12
20163,4
20165,2
20167,3
20169,36
20171,2
20173,249
20175,3
20177,116
20179,1
20181,6
20183,2
20185,4
20187,1
20189,4
20191,6
20193,5
20195,2
90020,-36
20197,3
20199,0
20201,4
20203,0
20205,7
20207,5
20209,78
21001,14
21003,15
21005,11
21007,2
21009,36
21011,8
21013,22
21015,46
21017,13
21019,43
21021,10
21023,4
21025,4
21027,25
21029,51
21031,7
21033,6
21035,20
21037,43
21039,6
21041,10
21043,28
21045,11
21047,29
21049,16
21051,17
21053,8
21055,10
21057,9
21059,64
21061,9
21063,5
21065,8
21067,106
21069,12
21071,30
21073,29
21075,5
21077,4
21079,15
21081,15
21083,37
21085,20
21087,7
21089,26
21091,5
21093,78
21095,39
21097,12
21099,19
21101,24
21103,11
21105,3
21107,30
21109,18
21111,438
21113,23
21115,26
21117,70
21119,15
21121,22
21123,12
21125,41
21127,19
21129,7
21131,5
21133,19
21135,16
21137,21
21139,10
21141,25
21143,4
21151,54
21153,11
21155,18
21157,16
21159,10
21161,22
21145,39
21147,9
21149,8
21163,14
21165,5
21167,8
21169,11
21171,8
21173,19
21175,5
21177,19
21179,39
21181,2
21183,7
21185,25
21187,4
21189,1
21191,8
21193,30
21195,59
21197,13
21199,52
21201,3
21203,11
21205,17
21207,24
21209,25
21211,28
21213,17
21215,11
21217,18
21219,5
21221,14
21223,11
90021,0
21225,10
21227,57
21229,6
21231,18
21233,3
21235,38
21237,6
21239,11
22001,34
22003,18
22005,41
22007,12
22009,25
22011,13
22013,11
22015,77
22017,147
22019,65
22021,12
22023,0
22025,7
22027,9
22029,9
22031,20
22033,160
22035,5
22037,25
22039,12
22041,34
22043,14
22045,32
22047,23
22049,11
22051,135
22053,23
22059,10
22055,81
22057,45
22061,25
22063,74
22065,3
22067,16
22069,27
22071,97
22073,128
80022,0
22075,4
22077,7
22079,92
22081,3
22083,14
22085,10
22087,11
22089,16
22091,4
22093,6
22095,11
22097,62
22099,23
22101,31
22103,106
22105,60
22107,1
22109,50
90022,0
22111,17
22113,28
22115,21
22117,24
22119,28
22121,11
22123,12
22125,5
22127,4
23001,114
23003,47
23005,73
23007,12
23009,17
23011,79
23013,13
23015,21
80023,0
23017,41
23019,96
23021,11
23023,8
23025,29
90023,0
23027,19
23029,13
23031,78
24001,63
24003,228
24005,481
24510,336
24009,40
24011,23
24013,79
24015,51
24017,79
24019,15
24021,100
24023,17
24025,165
24027,79
24029,7
24031,262
24033,347
24035,27
24039,16
24037,33
24041,22
90024,-105
24043,120
24045,76
24047,26
25001,114
25003,68
25005,412
25009,426
25011,38
25013,320
25015,67
25017,585
25021,286
25023,317
25025,301
90025,2
25027,455
26001,15
26003,2
26005,63
26007,22
26009,13
26011,16
26013,5
26015,35
26017,106
26019,11
26021,152
26023,38
26025,111
26027,30
26029,8
26031,22
26033,39
26035,25
26037,46
26039,9
26041,20
26043,15
26045,67
26047,25
26049,361
26051,18
26053,7
26055,48
26057,19
26059,31
26061,17
26063,23
26065,174
26067,33
26069,27
26071,16
26073,46
26075,112
26077,120
26079,12
26081,267
26083,2
26085,6
26087,88
26089,12
26091,64
26093,86
26095,6
26097,11
26099,710
26101,24
26103,29
26105,25
26107,23
26109,10
26111,41
26113,13
26115,95
26117,43
26119,5
26121,114
26123,26
26125,685
26127,5
26129,24
26131,11
26133,18
26135,4
26137,20
26139,137
80026,5
26141,6
26143,12
26145,150
26151,22
26153,9
26155,47
26147,161
26149,44
26157,37
90026,-1
26159,55
26161,107
26163,1391
26165,21
27001,7
27003,116
27005,11
27007,13
27009,34
27011,1
27013,16
27015,15
27017,16
27019,26
27021,16
27023,5
27025,20
27027,10
27029,5
27031,3
27033,7
27035,29
27037,110
27039,8
27041,13
27043,10
27045,7
27047,23
27049,20
27051,0
27053,382
27055,0
27057,8
27059,20
27061,31
27063,1
27065,10
27067,20
27069,3
27071,8
27073,2
27075,2
27077,1
27079,10
27081,1
27083,6
27087,1
27089,0
27091,12
27085,16
27093,8
27095,21
27097,17
27099,17
27101,2
27103,4
27105,4
27107,3
27109,37
27111,20
27113,9
27115,19
27117,4
27119,14
27121,3
27123,199
27125,2
27127,4
27129,4
27131,25
27133,1
27135,7
27139,46
27141,26
27143,4
27137,77
27145,53
27147,19
27149,2
27151,4
27153,6
27155,2
90027,90
27157,4
27159,10
27161,4
27163,71
27165,2
27167,5
27169,9
27171,45
27173,4
28001,17
28003,44
28005,10
28007,23
28009,9
28011,25
28013,19
28015,12
28017,22
28019,6
28021,6
28023,12
28025,20
28027,10
28029,25
28031,15
28033,109
28035,50
28037,6
28039,7
28041,9
28043,19
28045,18
28047,94
28049,133
28051,14
28053,6
28055,2
28057,32
28059,64
28061,9
28063,2
28065,10
28067,39
28069,6
28071,35
28073,20
28075,43
28077,13
28079,28
28081,52
28083,25
28085,20
28087,38
28089,43
28091,20
28093,25
28095,36
28097,19
28099,30
28101,14
28103,4
28105,18
28107,29
28109,31
28111,7
28113,30
28115,31
28117,16
28119,3
28121,74
28123,19
28125,5
28127,31
28129,13
28131,4
28133,14
28135,7
28137,23
28139,22
28141,24
28143,6
90028,14
28145,22
28147,13
28149,22
28151,26
28153,15
28155,20
28157,7
28159,11
28161,9
28163,12
29001,9
29003,15
29005,3
29007,24
29009,30
29011,9
29013,29
29015,31
29017,4
29019,47
29021,51
29023,33
29025,12
29027,29
29029,28
29031,36
29033,5
29035,5
29037,82
29039,13
29041,4
29043,45
29045,4
29047,77
29049,17
29051,47
29053,17
29055,23
29057,3
29059,12
29061,11
29063,8
29065,18
29067,13
29069,24
29071,65
29073,8
29075,3
29077,176
29079,9
29081,10
29083,17
29085,11
29087,5
29089,6
29091,35
29093,14
29095,309
29097,75
29099,181
29101,26
29103,5
29105,22
29107,37
29109,25
29111,5
29113,36
29115,6
29117,15
29121,16
29123,16
29125,15
29127,16
29119,6
29129,3
29131,16
29133,7
29135,10
29137,8
29139,23
29141,34
29143,14
29145,34
