FIPS,Confirmed
01001,3724
01003,12738
01005,1403
01007,1574
01009,2800
01011,558
01013,1171
01015,6635
01017,2010
01019,1437
01021,2553
01023,752
01025,1812
01027,1244
01029,733
01031,3025
01033,5411
01035,774
01037,813
01039,1771
01041,884
01043,6036
01045,2435
01047,2252
01049,4081
01051,5322
01053,2333
01055,6436
01057,963
01059,2583
01061,1082
01063,364
01065,1074
01067,899
01069,5210
01071,3351
01073,48431
01075,799
01077,6655
01079,2017
01081,9208
01083,6254
01085,640
01087,1053
01089,24728
01091,1023
01093,1992
01095,6341
01097,28340
01099,1472
01101,14517
01103,9929
80001,0
01105,496
01107,1390
01109,1624
01111,1221
01113,2017
01117,15110
01115,6019
01119,798
01121,5837
01123,3085
01125,14013
90001,0
01127,4760
01129,831
01131,830
01133,1970
02013,406
02016,624
02020,29243
02050,1144
02060,0
02164,180
02063,369
02066,129
02068,54
02070,269
02090,6848
02100,148
02110,2606
02122,2927
02130,972
02150,1568
02158,772
02170,5962
02180,1516
02185,735
02188,971
02195,78
02198,428
02220,619
02230,16
02240,333
90002,230
02261,0
02275,197
02282,134
02290,292
60,7
04001,4175
04003,7983
04005,12427
04007,3332
04009,2132
04011,570
04012,1130
04013,306817
04015,14115
04017,8205
80004,0
04019,59962
04021,31944
04023,5168
90004,-1
04025,8363
04027,14614
05001,1687
05003,1339
05005,1482
05007,15824
05009,1895
05011,754
05013,200
05015,1128
05017,564
05019,1167
05021,835
05023,1678
05025,626
05027,1281
05029,1575
05031,8844
05033,3462
05035,3184
05037,1265
05039,435
05041,845
05043,1275
05045,10497
05047,717
05049,507
05051,4198
05053,1028
05055,3741
05057,988
05059,2154
05061,866
05063,2420
05065,732
05067,879
05069,4687
05071,1372
05073,305
05075,1005
05077,477
05079,799
05081,831
05083,878
05085,5288
05087,758
05089,548
05091,1803
05093,2958
05095,586
05097,227
05099,521
05101,300
05103,1239
05105,620
05107,1051
05109,528
05111,1735
05113,726
05115,4387
05117,490
05119,30112
05121,805
05125,8466
05127,298
05129,466
05131,6791
05133,1195
05135,819
05123,1617
05137,567
90005,14984
05139,2106
05141,746
05143,15920
05145,5167
05147,396
05149,1472
06001,107479
06003,11
06005,2219
06007,9839
06009,2247
06011,784
06013,72104
06015,1108
06017,7935
06019,68194
06021,1377
06023,6505
06025,18759
06027,1563
06029,52192
06031,13633
06033,2626
06035,1593
06037,962832
06039,11595
06041,11592
06043,927
06045,5205
06047,18368
06049,76
06051,873
06053,23206
06055,8818
06057,5153
06059,194461
80006,0
06061,19773
06063,754
06065,168660
06067,100562
06069,3920
06071,158995
06073,279170
06075,51061
06077,52304
06079,17007
06081,47339
06083,32193
06085,128219
06087,19340
06089,6758
06091,78
06093,1571
06095,26677
06097,31564
06099,32132
06101,5707
06103,2991
06105,276
06107,31964
06109,3572
90006,8665
06111,59178
06113,12604
06115,4398
08001,30843
08003,988
08005,39493
08007,655
08009,113
08011,219
08013,17798
08014,3579
08015,1145
08017,46
08019,436
08021,379
08023,151
08025,380
08027,102
08029,689
08031,41054
08033,44
08035,20596
08037,3431
08041,44399
08039,1123
08043,2519
08045,3577
08047,270
08049,731
08051,918
08053,47
08055,361
08057,18
08059,30409
08061,34
08063,212
08067,3918
08065,443
08069,18956
08071,751
08073,433
08075,1032
08077,8048
08079,61
08081,453
08083,1227
08085,1427
08087,976
08089,600
08091,193
80008,0
08093,667
08095,176
08097,1778
08099,366
08101,10055
08103,163
08105,524
08107,1589
08109,187
08111,69
08113,466
08115,67
08117,2169
08119,960
90008,6
08121,151
08123,18841
08125,256
09001,52914
09003,44976
09005,7511
09007,7092
09009,49482
09011,15026
09013,4699
90009,808
09015,6704
10001,13086
10003,36416
10005,14559
90010,170
88888,0
11001,35531
12001,18842
12003,1790
12005,9342
12007,1378
12009,33834
12011,133337
12013,736
12015,7291
12017,5487
12019,13113
12021,16462
12023,4101
12027,1613
12029,645
12031,59104
12033,15811
12035,5123
12037,591
12039,2916
12041,824
12043,367
12045,887
12047,762
12049,1799
12051,2681
12053,8572
12055,4867
12057,78274
12059,1133
12061,6850
12063,3105
12065,959
12067,330
12069,18476
12071,40410
12073,21482
12075,2115
12077,483
12079,1512
12081,18237
12083,17299
12085,7219
12086,273740
12087,4731
12089,4445
12091,11509
12093,2418
12095,89874
12097,25894
12099,79799
12101,27161
12103,46304
12105,46018
12107,3283
12113,10166
12115,20373
12117,25392
12109,13375
12111,17202
12119,4087
12121,2445
12123,1596
90012,13593
12125,858
12127,24616
12129,2229
12131,3055
12133,1554
13001,925
13003,352
13005,593
13007,124
13009,1991
13011,736
13013,4795
13015,4854
13017,719
13019,1135
13021,7259
13023,783
13025,606
13027,752
13029,1965
13031,3127
13033,1069
13035,1067
13037,395
13039,2042
13043,351
13045,4467
13047,2897
13049,380
13051,17203
13053,389
13055,1247
13057,12061
13059,6475
13061,179
13063,14496
13065,384
13067,33474
13069,1923
13071,2608
13073,6962
13075,974
13077,6886
13079,439
13081,1063
13083,550
13085,1401
13089,31189
13087,1258
13091,1221
13093,526
13095,5093
13097,7029
13099,672
13101,165
13103,3033
13105,915
13107,1059
13109,449
13111,756
13113,5034
13115,5599
13117,12069
13119,990
13121,43671
13123,1234
13125,142
13127,5407
13129,2501
13131,1508
13133,713
13135,45283
13137,1525
13139,9866
13141,248
13143,1063
13145,1640
13147,929
13149,441
13151,10624
13153,9728
13155,279
13157,4391
13159,628
13161,667
13163,585
13165,232
13167,533
13169,961
13171,906
13173,631
13175,3371
13177,1664
13179,3685
13181,246
13183,741
13185,7048
13187,1456
13193,549
13195,1411
13197,396
13189,992
13191,489
13199,912
13201,339
13205,1290
13207,1025
13209,337
13211,710
13213,2620
13215,9443
13217,4376
13219,1971
13221,687
80013,25404
13223,6729
13225,1319
13227,1608
13229,776
13231,981
13233,2194
13235,495
13237,764
13239,129
13241,699
13243,329
13245,9579
13247,3680
13249,327
13251,642
13253,467
13255,3195
13257,975
13259,316
13261,1745
13263,267
13265,79
13267,732
13269,485
13271,508
13273,580
13275,3024
13277,2355
13279,972
13281,326
13283,288
13285,2792
13287,573
13289,280
90013,6544
13291,678
13293,1414
13295,2763
13297,4165
13299,1582
13301,202
13303,810
13305,1199
13307,123
13309,142
13311,1313
13313,7799
13315,465
13317,488
13319,495
13321,1128
99999,0
66,12713
15001,10154
15003,71383
15007,5777
15009,14652
80015,1680
90015,0
16001,16637
16003,68
16005,4599
16007,111
16009,106
16011,1895
16013,1325
16015,128
16017,885
16019,7119
16021,141
16023,66
16025,15
16027,7939
16029,302
16031,207
16033,11
16035,350
16037,78
16039,780
16041,339
16043,428
16045,278
16047,176
16049,397
16051,1140
16053,348
16055,3843
16057,1342
16059,181
16061,191
16063,80
16065,2823
16067,220
16069,1669
16071,138
16073,236
16075,519
16077,262
16079,191
16081,721
16083,1871
90016,1
16085,614
16087,150
17001,4929
17003,322
17005,1080
17007,3073
17009,1081
17011,2205
17013,498
17015,864
17017,1294
17019,20759
17021,2742
17023,1211
17025,1065
17027,3121
17029,4733
17031,259312
17033,1917
17035,842
17039,1229
17037,5961
17041,2056
17043,54772
17045,1350
17047,441
17049,2246
17051,1619
17053,1112
17055,3089
17057,2775
17059,337
17061,900
17063,2434
17065,511
17067,733
17069,244
17071,197
17073,3317
17075,1433
17077,5066
17079,607
17081,2778
17083,1691
17085,861
17087,1191
17089,32839
17091,5326
17093,7336
17095,3111
17099,8268
17097,39000
17101,1282
17103,2308
17105,2896
17107,2785
17115,9380
17117,3595
17119,18989
17121,2848
17123,697
17125,988
17127,955
17109,1904
17111,23128
17113,16459
17129,1087
17131,1011
17133,2715
17135,2973
17137,2935
17139,959
17141,3162
80017,-16
17143,9988
17145,2109
17147,1182
17149,1178
17151,215
17153,442
17155,290
17157,3442
17159,1440
17161,7458
17165,2222
17167,18720
17169,585
17171,308
17173,1443
17163,17585
17175,405
17177,2604
17179,8206
90017,12
17181,1427
17183,7795
17185,1112
17187,815
17189,827
17191,1390
17193,995
17195,3937
17197,36099
17199,6754
17201,19077
17203,2427
18001,1139
18003,25213
18005,5663
18007,523
18009,544
18011,3402
18013,516
18015,810
18017,2070
18019,6787
18021,1490
18023,1883
18025,528
18027,1656
18033,2121
18029,2985
18031,1478
18035,4874
18037,2871
18039,9091
18041,1232
18043,4485
18045,934
18047,838
18049,740
18051,3202
18053,3315
18055,1501
18057,20692
18059,4979
18061,2424
18063,10136
18065,2406
18067,5975
18069,2432
18071,3132
18073,1692
18075,905
18077,2114
18079,1577
18081,10101
18083,2408
18085,3173
18087,1005
18091,5230
18089,19025
18093,2315
18095,7611
18097,54574
18099,1897
18101,487
18103,1662
18105,7635
18107,2195
18109,4186
18111,434
18113,2459
18115,377
18117,1118
18119,1544
18121,747
18123,1154
18125,770
18127,6670
18129,1722
18131,561
18133,1855
18135,1180
18137,1654
18139,1123
18143,1854
18145,3389
18147,993
18141,12885
18149,593
18151,1838
18153,1208
18155,543
18157,13297
18159,682
90018,0
18161,486
18163,16235
18165,782
18167,6765
18169,1459
18171,421
18173,5638
18175,1383
18177,4595
18179,990
18181,1265
18183,2057
19001,154
19003,100
19005,357
19007,348
19009,165
19011,1004
19013,6262
19015,747
19017,767
19019,667
19021,954
19023,404
19025,342
19027,719
19029,290
19031,751
19033,1451
19035,455
19037,439
19039,297
19041,677
19043,418
19045,1810
19047,541
19049,4116
19051,141
19053,234
19055,502
19057,926
19059,540
19061,3147
19063,292
19065,569
19067,482
19069,349
19071,232
19073,245
19075,351
19077,341
19079,488
19081,258
19083,679
19085,522
19087,725
19089,252
19091,414
19093,254
19095,773
19097,632
19099,1075
19101,534
19103,8483
19105,699
19107,241
19109,382
19111,918
19113,10814
19115,337
19117,249
19119,414
19121,395
19123,562
19125,956
19127,1611
19129,584
19131,346
19133,233
19135,219
19137,309
19139,1585
19141,534
19143,192
19145,292
19147,305
19149,819
19151,210
19153,23820
19155,4771
19157,489
19159,183
19161,367
19163,7151
19165,360
19167,1132
19169,3280
19171,552
19173,126
90019,10034
19175,306
19177,190
19179,1210
19181,2071
19183,958
19185,177
19187,1684
19189,334
19191,496
19193,5351
19195,317
19197,547
20001,1049
20003,596
20005,1101
20007,280
20009,1414
20011,1216
20013,536
20015,5128
20017,175
20019,166
20021,1610
20023,127
20025,99
20027,434
20029,309
20031,613
20033,75
20035,2736
20037,3243
20039,65
20041,1021
20043,521
20045,8486
20047,71
20049,153
20051,1595
20053,346
20055,2545
20057,2509
20059,1833
20061,3134
20063,124
20065,127
20067,531
20069,215
20071,91
20073,475
20075,96
20077,309
20079,2620
20081,217
20083,105
20085,1051
20087,1289
20089,130
20091,43254
20093,208
20095,434
20097,172
20099,1811
20101,61
20103,5677
20105,150
20107,731
20109,191
20111,2799
20115,945
20117,476
20113,1907
20119,347
20121,1962
20123,425
20125,2817
20127,443
20129,117
20131,621
20133,1451
20135,177
20137,385
20139,1086
20141,162
20143,233
80020,0
20145,365
20147,223
20149,1690
20151,339
20153,72
20155,3903
20157,268
20159,654
20161,2897
20163,259
20165,166
20167,334
20169,3374
20171,282
20173,42505
20175,1378
20177,14464
20179,136
20181,255
20183,108
20185,230
20187,76
20189,342
20191,1339
20193,443
20195,165
90020,0
20197,320
20199,59
20201,290
20203,127
20205,732
20207,178
20209,12884
21001,855
21003,1630
21005,1442
21007,333
21009,2259
21011,407
21013,1627
21015,9828
21017,1414
21019,4055
21021,1538
21023,509
21025,661
21027,1158
21029,5787
21031,537
21033,818
21035,1813
21037,6186
21039,168
21041,898
21043,1833
21045,478
21047,2494
21049,2361
21051,1339
21053,554
21055,369
21057,397
21059,8654
21061,500
21063,281
21065,654
21067,27155
21069,643
21071,2008
21073,3419
21075,227
21077,570
21079,1087
21081,1172
21083,2533
21085,1666
21087,470
21089,3007
21091,577
21093,9007
21095,1629
21097,1573
21099,746
21101,3596
21103,1277
21105,154
21107,3695
21109,642
21111,62420
21113,4370
21115,1057
21117,10403
21119,647
21121,1912
21123,766
21125,2193
21127,706
21129,342
21131,560
21133,1159
21135,846
21137,859
21139,396
21141,1844
21143,447
21151,6167
21153,639
21155,1409
21157,2144
21159,483
21161,1120
21145,4905
21147,420
21149,662
21163,1408
21165,154
21167,1704
21169,368
21171,694
21173,850
21175,778
21177,2840
21179,3647
21181,361
21183,1696
21185,4994
21187,531
21189,231
21191,851
21193,1601
21195,3177
21197,1002
21199,1949
21201,111
21203,795
21205,1217
21207,1072
21209,4061
21211,3963
21213,1452
21215,1465
21217,1303
21219,688
21221,578
21223,473
90021,-2
21225,1007
21227,10685
21229,756
21231,629
21233,908
21235,2489
21237,415
21239,1946
22001,3940
22003,2459
22005,9754
22007,1349
22009,3248
22011,2284
22013,1123
22015,12017
22017,20328
22019,13472
22021,514
22023,243
22025,674
22027,930
22029,1373
22031,1947
22033,35927
22035,554
22037,2306
22039,1828
22041,1624
22043,1402
22045,4440
22047,2341
22049,1179
22051,31326
22053,1642
22059,1062
22055,16974
22057,7013
22061,3672
22063,9359
22065,847
22067,1712
22069,2300
22071,27066
22073,13925
80022,0
22075,1790
22077,1465
22079,8336
22081,511
22083,1565
22085,1212
22087,2996
22089,3534
22091,503
22093,1539
22095,3058
22097,5917
22099,3157
22101,2676
22103,21069
22105,8795
22107,322
22109,8001
90022,334
22111,1939
22113,3511
22115,2485
22117,3605
22119,3229
22121,2231
22123,1129
22125,1163
22127,1291
23001,2074
23003,1060
23005,7395
23007,621
23009,668
23011,2299
23013,979
23015,783
80023,0
23017,1047
23019,2153
23021,212
23023,634
23025,885
90023,-15
23027,725
23029,301
23031,5668
24001,4153
24003,18460
24005,28061
24510,23714
24009,2900
24011,1404
24013,4693
24015,3605
24017,7133
24019,2045
24021,11584
24023,965
24025,9323
24027,10671
24029,654
24031,52979
24033,35425
24035,1486
24039,1210
24037,4967
24041,1431
90024,0
24043,7313
24045,5183
24047,2288
25001,8323
25003,7242
25005,37012
25009,47973
25011,3758
25013,38427
25015,8177
25017,92050
25021,37558
25023,30176
25025,58763
90025,46220
25027,53450
26001,206
26003,512
26005,5310
26007,638
26009,846
26011,627
26013,415
26015,2780
26017,6400
26019,808
26021,7555
26023,2123
26025,7292
26027,1632
26029,1242
26031,692
26033,2606
26035,1161
26037,4948
26039,425
26041,2202
26043,1858
26045,6670
26047,1472
26049,23783
26051,1115
26053,764
26055,3723
26057,1846
26059,1516
26061,1739
26063,1358
26065,17738
26067,3244
26069,690
26071,610
26073,3253
26075,8784
26077,14874
26079,755
26081,35336
26083,91
26085,284
26087,3871
26089,832
26091,5405
26093,10809
26095,288
26097,539
26099,50986
26101,783
26103,4753
26105,1333
26107,1651
26109,1022
26111,4344
26113,458
26115,9011
26117,2427
26119,271
26121,8016
26123,1909
26125,71528
26127,956
26129,709
26131,174
26133,780
26135,202
26137,915
26139,15306
80026,1861
26141,252
26143,686
26145,10457
26151,1420
26153,399
26155,4039
26147,7947
26149,2160
26157,2552
90026,-43
26159,3396
26161,22653
26163,101024
26165,1377
27001,286
27003,20172
27005,1183
27007,1664
27009,2579
27011,229
27013,3321
27015,1038
27017,1419
27019,5694
27021,845
27023,424
27025,2182
27027,4110
27029,267
27031,134
27033,504
27035,2240
27037,25060
27039,1190
27041,1471
27043,616
27045,780
27047,1907
27049,2532
27051,214
27053,72488
27055,689
27057,708
27059,1533
27061,1557
27063,305
27065,432
27067,1776
27069,105
27071,420
27073,246
27075,374
27077,119
27079,882
27081,198
27083,1065
27087,240
27089,215
27091,852
27085,1672
27093,681
27095,863
27097,1150
27099,3104
27101,300
27103,1459
27105,1053
27107,245
27109,11299
27111,1664
27113,505
27115,734
27117,261
27119,1260
27121,375
27123,30381
27125,119
27127,533
27129,444
27131,3652
27133,362
27135,727
27139,8076
27141,4681
27143,421
27137,8651
27145,9576
27147,1965
27149,496
27151,242
27153,819
27155,100
90027,8548
27157,898
27159,569
27161,803
27163,15403
27165,473
27167,194
27169,2791
27171,5406
27173,321
28001,1352
28003,2796
28005,708
28007,826
28009,421
28011,1722
28013,1226
28015,554
28017,1535
28019,471
28021,677
28023,809
28025,1329
28027,1397
28029,1440
28031,2047
28033,10539
28035,5455
28037,461
28039,1460
28041,564
28043,1140
28045,2796
28047,11344
28049,13363
28051,1282
28053,478
28055,44
28057,1675
28059,8538
28061,936
28063,369
28065,753
28067,5132
28069,536
28071,4158
28073,4621
28075,4581
28077,891
28079,1341
28081,6905
28083,1752
28085,1589
28087,4163
28089,6068
28091,1964
28093,1845
28095,2370
28097,833
28099,2650
28101,1284
28103,646
28105,2357
28107,2471
28109,3800
28111,606
28113,2144
28115,1725
28117,1962
28119,328
28121,9117
28123,1219
28125,211
28127,1382
28129,909
28131,1240
28133,995
28135,578
28137,1637
28139,1185
28141,1393
28143,590
90028,0
28145,1854
28147,906
28149,2275
28151,1751
28153,756
28155,684
28157,554
28159,1465
28161,1054
28163,2697
29001,1025
29003,996
29005,212
29007,924
29009,1323
29011,560
29013,801
29015,786
29017,323
29019,12488
29021,4945
29023,1930
29025,185
29027,2591
29029,1776
29031,3549
29033,412
29035,241
29037,5742
29039,592
29041,266
29043,4529
29045,228
29047,5905
29049,799
29051,4387
29053,692
29055,994
29057,315
29059,861
29061,229
29063,286
29065,703
29067,421
29069,1619
29071,4205
29073,592
29075,331
29077,16666
29079,296
29081,222
29083,1326
29085,351
29087,171
29089,403
29091,1816
29093,379
29095,22046
29097,6731
29099,11866
29101,2783
29103,159
29105,1644
29107,1556
29109,1470
29111,531
29113,3170
29115,208
29117,621
29121,732
29123,711
29125,327
29127,1431
29119,869
29129,96
29131,1243
29133,435
29135,681
29137,395
29139,459
29141,724
29143,1020
29145,2024
29147,1483
29149,338
29151,574
29153,236
29155,623
29157,903
29159,2672
29161,1943
29163,807
29165,2171
29167,1581
29169,2476
29171,129
29173,457
29175,1337
29177,1014
29179,220
29181,383
29195,1278
29197,104
29199,114
29201,2264
29203,264
29205,288
29183,23686
29185,510
29187,3708
29189,56512
29510,14814
29186,708
29207,955
29209,1012
29211,258
29213,2638
29215,794
90029,0
29217,1135
29219,1808
29221,1043
29223,421
29225,1814
29227,67
29229,714
30001,363
30003,616
30005,285
30007,126
30009,279
30011,21
30013,3533
30015,91
30017,369
30019,42
30021,270
30023,451
30025,71
30027,294
30029,3098
30031,8293
30033,47
30035,644
30037,16
30039,82
30041,630
30043,395
30045,40
30047,1012
30049,3190
30051,88
30053,645
30057,253
30055,45
30059,92
30061,226
30063,6059
30065,93
30067,854
30069,7
30071,107
30073,183
30075,22
30077,268
30079,41
30081,947
30083,335
30085,419
30087,174
30089,381
30091,61
30093,1423
30095,141
30097,118
30099,248
30101,126
30103,10
90030,0
30105,153
30107,52
30109,18
30111,6609
31001,1161
31003,157
31005,1
31007,21
31009,5
31011,162
31013,400
31015,59
31017,66
31019,1851
31021,265
31023,353
31025,1344
31027,240
31029,54
31031,58
31033,304
31035,208
31037,475
31039,261
31041,240
31043,1229
31045,140
31047,648
31049,43
31051,193
31053,1905
31055,34486
31057,51
31059,239
31061,32
31063,53
31065,188
31067,519
31069,57
31071,59
31073,51
31075,10
31077,61
31079,3690
31081,460
31083,34
31085,6
31087,43
31089,347
31091,10
31093,246
31095,151
31097,85
31099,162
31101,256
31103,8
31105,88
31107,226
31109,19452
31111,1448
31113,13
31115,15
31119,1946
31117,9
31121,316
31123,161
31125,128
31127,247
31129,144
31131,624
31133,55
31135,88
31137,355
31139,213
31141,1543
31143,207
31145,197
31147,351
31149,6
31151,715
31153,12245
31155,836
31157,1786
31159,390
31161,88
31163,83
31165,14
31167,109
31169,207
31171,13
31173,436
90031,1065
31175,102
31177,869
31179,230
31181,110
31183,24
31185,768
32510,3760
32001,1437
32003,128692
32005,2026
32007,2783
32009,24
32011,108
32013,1517
32015,208
32017,232
32019,2377
32021,245
32023,1240
32027,124
32029,73
90032,0
32031,26951
32033,460
33001,2940
33003,2108
33005,3491
33007,1478
33009,5502
33011,24772
33013,8223
33015,16804
33017,6247
33019,2005
90033,4619
34001,16830
34003,51778
34005,24852
34007,33253
34009,4172
34011,10572
34013,48861
34015,16715
34017,40559
34019,6681
34021,19909
34023,44357
34025,34854
34027,31577
34029,33760
34031,32590
34033,3316
34035,16181
34037,8015
90034,523
34039,30162
34041,5695
35001,37248
35003,91
35005,5144
35006,1832
35007,527
35009,2801
35011,121
35013,17256
35015,3580
35017,1582
35019,268
35021,14
35023,281
35025,3681
35027,1172
35028,1360
35029,1316
35031,6343
35033,213
35035,3128
35037,320
35039,2830
35041,1105
35045,8894
35047,1777
35043,9299
35049,8938
35051,383
35053,983
35055,1652
35057,575
90035,665
35059,184
35061,4481
36001,14473
36003,1340
36005,117175
36007,8849
36009,2974
36011,3586
36013,4746
36015,5043
36017,1909
36019,4953
36021,2477
36023,2542
36025,1709
36027,16020
36029,51092
36031,1413
36033,1966
36035,2603
36037,2986
36039,1967
36041,171
36043,2859
36045,5212
36047,190008
36049,1091
36051,2507
36053,2946
36055,31690
36057,2741
36059,96406
36061,118948
36063,11480
36065,10898
36067,31148
36069,4452
36071,29308
36073,1806
36075,6123
36077,2473
80036,0
36079,6088
36081,188819
36083,8266
36085,40333
36087,23066
36091,12167
36093,8491
36095,1227
36097,812
36099,1449
36089,3872
36101,3863
36103,95117
36105,5330
36107,2346
36109,4804
36111,7373
90036,190
36113,3480
36115,2908
36117,3806
36119,59345
36121,1732
36123,746
37001,13437
37003,2571
37005,579
37007,1830
37009,1419
37011,831
37013,3299
37015,1332
37017,2807
37019,8333
37021,13024
37023,5185
37025,14774
37027,5319
37029,358
37031,3133
37033,1335
37035,12520
37037,3795
37039,1583
37041,1437
37043,587
37045,7469
37047,4187
37049,5901
37051,23102
37053,1214
37055,2168
37057,11155
37059,2661
37061,3964
37063,24966
37065,4150
37067,26955
37069,7265
37071,15673
37073,494
37075,589
37077,4230
37079,1747
37081,31135
37083,4637
37085,9288
37087,3091
37089,5321
37091,1511
37093,5389
37095,313
37097,11725
37099,2105
37101,17440
37103,594
37105,4822
37107,4337
37109,5430
37113,1416
37115,1156
37117,1819
37111,2746
37119,81881
37121,619
37123,1967
37125,7479
37127,8879
37129,13485
37131,1302
37133,14425
37135,9310
37137,588
37139,1635
37141,4150
37143,700
37145,2591
37147,16616
37149,957
37151,8613
37153,3806
37155,10719
37157,6021
37159,9644
37161,3836
37163,4968
37165,3210
37167,5257
37169,2727
37171,4749
37173,738
37175,1213
37177,291
90037,-17933
37179,16267
37181,3345
37183,113447
37185,1222
37187,1053
37189,3095
37191,7431
37193,3969
37195,5612
37197,2667
37199,928
38001,79
38003,564
38005,322
38007,15
38009,304
38011,101
