FIPS,Deaths
01001,56
01003,87
01005,17
01007,9
01009,45
01011,8
01013,27
01015,94
01017,15
01019,21
01021,34
01023,6
01025,12
01027,13
01029,9
01031,36
01033,46
01035,8
01037,10
01039,32
01041,20
01043,56
01045,37
01047,32
01049,49
01051,50
01053,22
01055,122
01057,10
01059,27
01061,27
01063,3
01065,15
01067,9
01069,74
01071,40
01073,342
01075,5
01077,77
01079,22
01081,70
01083,63
01085,9
01087,15
01089,197
01091,15
01093,20
01095,71
01097,254
01099,14
01101,151
01103,90
80001,0
01105,5
01107,11
01109,23
01111,7
01113,26
01117,70
01115,51
01119,9
01121,69
01123,30
01125,127
90001,0
01127,55
01129,8
01131,8
01133,20
02013,0
02016,0
02020,107
02050,9
02060,0
02164,0
02063,1
02066,5
02068,0
02070,1
02090,23
02100,0
02110,6
02122,25
02130,6
02150,2
02158,3
02170,64
02180,2
02185,2
02188,4
02195,2
02198,2
02220,0
02230,0
02240,6
90002,0
02261,0
02275,0
02282,2
02290,2
60,26
04001,69
04003,98
04005,61
04007,68
04009,18
04011,6
04012,35
04013,3416
04015,261
04017,152
80004,0
04019,638
04021,331
04023,22
90004,0
04025,235
04027,187
05001,14
05003,11
05005,47
05007,154
05009,39
05011,7
05013,1
05015,21
05017,12
05019,13
05021,16
05023,27
05025,3
05027,18
05029,17
05031,72
05033,56
05035,36
05037,11
05039,11
05041,5
05043,13
05045,76
05047,14
05049,12
05051,81
05053,9
05055,38
05057,19
05059,22
05061,11
05063,39
05065,12
05067,16
05069,41
05071,23
05073,3
05075,14
05077,4
05079,10
05081,20
05083,25
05085,62
05087,17
05089,17
05091,28
05093,52
05095,9
05097,4
05099,4
05101,3
05103,13
05105,11
05107,16
05109,5
05111,20
05113,19
05115,44
05117,12
05119,211
05121,21
05125,78
05127,9
05129,17
05131,112
05133,12
05135,27
05123,23
05137,19
90005,0
05139,25
05141,17
05143,104
05145,80
05147,7
05149,18
06001,307
06003,0
06005,16
06007,77
06009,27
06011,0
06013,228
06015,7
06017,38
06019,369
06021,9
06023,23
06025,110
06027,7
06029,445
06031,61
06033,20
06035,11
06037,4322
06039,45
06041,42
06043,16
06045,22
06047,124
06049,2
06051,2
06053,88
06055,36
06057,17
06059,1117
80006,0
06061,139
06063,1
06065,956
06067,600
06069,16
06071,1140
06073,769
06075,178
06077,323
06079,112
06081,118
06083,120
06085,312
06087,34
06089,136
06091,4
06093,20
06095,70
06097,72
06099,201
06101,31
06103,63
06105,3
06107,298
06109,90
90006,-3
06111,276
06113,44
06115,22
08001,243
08003,5
08005,181
08007,7
08009,1
08011,5
08013,61
08014,18
08015,6
08017,1
08019,5
08021,8
08023,4
08025,2
08027,7
08029,11
08031,204
08033,2
08035,62
08037,3
08041,239
08039,8
08043,19
08045,12
08047,1
08049,6
08051,1
08053,0
08055,6
08057,0
08059,226
08061,2
08063,8
08067,15
08065,0
08069,84
08071,7
08073,1
08075,12
08077,69
08079,1
08081,3
08083,22
08085,14
08087,11
08089,11
08091,0
80008,0
08093,6
08095,3
08097,0
08099,6
08101,113
08103,2
08105,6
08107,1
08109,2
08111,0
08113,1
08115,4
08117,2
08119,7
90008,0
08121,2
08123,109
08125,1
09001,362
09003,439
09005,87
09007,66
09009,481
09011,136
09013,63
90009,0
09015,56
10001,152
10003,302
10005,167
90010,0
88888,0
11001,129
12001,378
12003,80
12005,427
12007,91
12009,1182
12011,2753
12013,53
12015,370
12017,512
12019,502
12021,447
12023,230
12027,53
12029,46
12031,1920
12033,604
12035,241
12037,32
12039,106
12041,49
12043,17
12045,32
12047,31
12049,80
12051,73
12053,609
12055,318
12057,1947
12059,38
12061,346
12063,122
12065,33
12067,35
12069,841
12071,1143
12073,327
12075,113
12077,14
12079,52
12081,736
12083,1098
12085,275
12086,4423
12087,67
12089,166
12091,321
12093,93
12095,1516
12097,614
12099,2158
12101,1086
12103,1671
12105,1599
12107,264
12113,329
12115,767
12117,576
12109,345
12111,563
12119,288
12121,175
12123,53
90012,-25413
12125,42
12127,1137
12129,69
12131,121
12133,58
13001,18
13003,9
13005,13
13007,1
13009,35
13011,22
13013,50
13015,68
13017,11
13019,11
13021,111
13023,12
13025,19
13027,10
13029,15
13031,39
13033,22
13035,30
13037,0
13039,20
13043,6
13045,86
13047,40
13049,4
13051,143
13053,1
13055,23
13057,128
13059,42
13061,2
13063,172
13065,6
13067,330
13069,34
13071,39
13073,63
13075,10
13077,86
13079,8
13081,17
13083,6
13085,21
13089,314
13087,20
13091,15
13093,7
13095,66
13097,85
13099,4
13101,1
13103,19
13105,15
13107,15
13109,10
13111,40
13113,66
13115,108
13117,91
13119,16
13121,416
13123,36
13125,4
13127,61
13129,59
13131,20
13133,11
13135,296
13137,42
13139,140
13141,7
13143,41
13145,16
13147,25
13149,9
