FIPS,Deaths
01001,57
01003,90
01005,18
01007,10
01009,47
01011,8
01013,27
01015,101
01017,15
01019,21
01021,35
01023,7
01025,13
01027,13
01029,9
01031,40
01033,48
01035,8
01037,10
01039,33
01041,22
01043,59
01045,39
01047,32
01049,53
01051,53
01053,24
01055,126
01057,11
01059,29
01061,28
01063,6
01065,15
01067,11
01069,77
01071,40
01073,359
01075,6
01077,81
01079,24
01081,73
01083,67
01085,9
01087,16
01089,213
01091,15
01093,21
01095,74
01097,272
01099,14
01101,161
01103,94
80001,0
01105,6
01107,13
01109,23
01111,8
01113,28
01117,75
01115,52
01119,10
01121,70
01123,32
01125,136
90001,0
01127,61
01129,8
01131,8
01133,21
02013,0
02016,0
02020,119
02050,9
02060,0
02164,0
02063,2
02066,6
02068,0
02070,2
02090,25
02100,0
02110,6
02122,27
02130,8
02150,2
02158,5
02170,71
02180,2
02185,4
02188,5
02195,3
02198,2
02220,0
02230,0
02240,6
90002,-1
02261,0
02275,0
02282,2
02290,2
60,31
04001,73
04003,107
04005,64
04007,75
04009,21
04011,12
04012,36
04013,3758
04015,292
04017,163
80004,0
04019,707
04021,358
04023,26
90004,0
04025,268
04027,201
05001,13
05003,13
05005,50
05007,181
05009,40
05011,10
05013,2
05015,25
05017,11
05019,16
05021,17
05023,28
05025,3
05027,20
05029,17
05031,78
05033,57
05035,37
05037,15
05039,12
05041,5
05043,13
05045,81
05047,14
05049,15
05051,85
05053,10
05055,42
05057,21
05059,24
05061,13
05063,43
05065,14
05067,17
05069,42
05071,24
05073,3
05075,19
05077,6
05079,11
05081,22
05083,24
05085,68
05087,21
05089,18
05091,29
05093,56
05095,10
05097,3
05099,3
05101,5
05103,18
05105,12
05107,16
05109,5
05111,23
05113,21
05115,48
05117,11
05119,223
05121,22
05125,87
05127,10
05129,17
05131,112
05133,12
05135,30
05123,24
05137,19
90005,0
05139,30
05141,17
05143,121
05145,90
05147,7
05149,19
06001,351
06003,0
06005,17
06007,93
06009,31
06011,1
06013,266
06015,10
06017,44
06019,398
06021,9
06023,27
06025,144
06027,7
06029,542
06031,62
06033,23
06035,10
06037,4688
06039,57
06041,48
06043,17
06045,22
06047,136
06049,2
06051,3
06053,100
06055,37
06057,19
06059,1213
80006,0
06061,140
06063,1
06065,992
06067,708
06069,17
06071,1774
06073,867
06075,220
06077,350
06079,121
06081,137
06083,131
06085,379
06087,38
06089,165
06091,4
06093,21
06095,76
06097,79
06099,236
06101,34
06103,66
06105,3
06107,339
06109,98
90006,-3
06111,307
06113,53
06115,25
08001,295
08003,6
08005,241
08007,7
08009,7
08011,5
08013,82
08014,21
08015,11
08017,1
08019,5
08021,10
08023,5
08025,4
08027,7
08029,17
08031,296
08033,2
08035,90
08037,3
08041,328
08039,9
08043,30
08045,15
08047,1
08049,8
08051,1
08053,0
08055,9
08057,0
08059,283
08061,2
08063,8
08067,22
08065,0
08069,117
08071,11
08073,2
08075,15
08077,117
08079,1
08081,4
08083,28
08085,24
08087,13
08089,14
08091,0
80008,0
08093,7
08095,4
08097,1
08099,8
08101,142
08103,2
08105,6
08107,1
08109,2
08111,0
08113,1
08115,4
08117,2
08119,8
90008,0
08121,4
08123,125
08125,1
09001,393
09003,495
09005,98
09007,74
09009,532
09011,158
09013,72
90009,0
09015,63
10001,167
10003,338
10005,193
90010,0
88888,0
11001,138
12001,399
12003,81
12005,438
12007,92
12009,1254
12011,2882
12013,54
12015,391
12017,529
12019,517
12021,464
12023,237
12027,55
12029,47
12031,1973
12033,623
12035,253
12037,33
12039,110
12041,51
12043,17
12045,35
12047,31
12049,81
12051,74
12053,632
12055,330
12057,2039
12059,41
12061,363
12063,126
12065,33
12067,35
12069,876
12071,1199
12073,347
12075,111
12077,14
12079,53
12081,783
12083,1147
12085,295
12086,4630
12087,68
12089,172
12091,329
12093,95
12095,1578
12097,632
12099,2301
