FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
17075,Iroquois County,IL,61.6,21252.0,30
12113,Santa Rosa County,FL,64.3,144119.0,337
34039,Union County,NJ,82.6,426483.0,325
42037,Columbia County,PA,70.5,53571.0,62
35017,Grant County,NM,79.2,21758.0,39
40095,Marshall County,OK,55.3,13028.0,15
19195,Worth County,IA,61.9,5851.0,7
45057,Lancaster County,SC,55.7,76927.0,36
17005,Bond County,IL,64.0,13292.0,3
19003,Adams County,IA,67.7,2848.0,3
28089,Madison County,MS,76.1,79989.0,51
31101,Keith County,NE,44.9,6386.0,10
01097,Mobile County,AL,61.3,316868.0,287
51670,Hopewell city,VA,40.4,16678.0,22
31089,Holt County,NE,53.3,7520.0,4
48241,Jasper County,TX,46.0,27090.0,25
21061,Edmonson County,KY,39.7,9988.0,16
47047,Fayette County,TN,66.1,33523.0,57
48157,Fort Bend County,TX,84.2,590029.0,153
36033,Franklin County,NY,79.1,40427.0,18
29123,Madison County,MO,49.7,9307.0,17
37073,Gates County,NC,64.0,9230.0,2
51590,Danville city,VA,41.9,31397.0,75
01115,St. Clair County,AL,48.2,69336.0,56
11001,District of Columbia,DC,81.4,577581.0,152
13239,Quitman County,GA,39.0,1869.0,0
46099,Minnehaha County,SD,82.1,144430.0,94
13213,Murray County,GA,46.6,30292.0,42
35005,Chaves County,NM,55.6,47845.0,115
48291,Liberty County,TX,53.6,64361.0,43
48457,Tyler County,TX,44.4,17499.0,15
08087,Morgan County,CO,60.5,21551.0,13
17089,Kane County,IL,77.4,399424.0,200
25009,Essex County,MA,83.2,622395.0,539
32009,Esmeralda County,NV,45.9,750.0,1
12047,Hamilton County,FL,41.2,11684.0,31
36025,Delaware County,NY,64.3,36926.0,21
29186,Ste. Genevieve County,MO,55.1,13983.0,5
12127,Volusia County,FL,68.8,456508.0,1180
42117,Tioga County,PA,54.8,32510.0,28
45069,Marlboro County,SC,52.8,20934.0,20
05055,Greene County,AR,53.1,34308.0,48
72129,San Lorenzo Municipio,PR,85.3,29687.0,0
47185,White County,TN,52.7,21387.0,15
36067,Onondaga County,NY,83.6,363436.0,216
12061,Indian River County,FL,77.0,134897.0,363
21207,Russell County,KY,56.5,13863.0,27
47095,Lake County,TN,40.2,6010.0,10
38077,Richland County,ND,61.6,12641.0,2
02198,Prince of Wales-Hyder Census Area,AK,60.8,4821.0,4
54037,Jefferson County,WV,74.2,44559.0,40
05011,Bradley County,AR,69.6,8180.0,11
41019,Douglas County,OR,62.9,89613.0,101
55047,Green Lake County,WI,67.6,14772.0,16
21131,Leslie County,KY,63.7,7764.0,12
18043,Floyd County,IN,67.7,60795.0,69
18141,St. Joseph County,IN,70.9,208208.0,189
29121,Macon County,MO,50.8,11637.0,23
35035,Otero County,NM,72.7,52062.0,57
19149,Plymouth County,IA,65.3,18868.0,14
31027,Cedar County,NE,53.2,6283.0,2
12079,Madison County,FL,53.6,15088.0,53
13241,Rabun County,GA,53.4,14298.0,23
08014,Broomfield County,CO,90.0,54894.0,24
21219,Todd County,KY,55.1,9037.0,8
41035,Klamath County,OR,61.2,53550.0,63
01051,Elmore County,AL,57.0,63080.0,55
72045,Comerio Municipio,PR,78.4,15112.0,0
18129,Posey County,IN,57.7,19900.0,12
26161,Washtenaw County,MI,79.9,299837.0,147
19169,Story County,IA,68.0,81098.0,28
30057,Madison County,MT,51.4,7283.0,3
40135,Sequoyah County,OK,50.1,31927.0,13
18159,Tipton County,IN,55.2,12064.0,20
51089,Henry County,VA,46.5,40871.0,63
29083,Henry County,MO,55.8,17065.0,23
36097,Schuyler County,NY,71.7,14503.0,5
38099,Walsh County,ND,69.6,8197.0,0
13277,Tift County,GA,49.7,30600.0,37
21133,Letcher County,KY,63.3,16877.0,37
39173,Wood County,OH,69.0,104261.0,64
47005,Benton County,TN,53.9,12951.0,15
19175,Union County,IA,62.0,9514.0,9
18065,Henry County,IN,63.4,38234.0,52
46031,Corson County,SD,66.1,2592.0,2
48283,La Salle County,TX,73.4,6038.0,8
24041,Talbot County,MD,83.5,30414.0,28
47097,Lauderdale County,TN,47.0,19960.0,30
17021,Christian County,IL,58.7,25804.0,25
51013,Arlington County,VA,81.4,193888.0,44
13173,Lanier County,GA,33.4,7929.0,9
01053,Escambia County,AL,45.7,28407.0,26
48215,Hidalgo County,TX,88.9,589575.0,411
35001,Bernalillo County,NM,80.1,534057.0,670
19119,Lyon County,IA,55.1,8453.0,8
05041,Desha County,AR,73.0,8491.0,5
38041,Hettinger County,ND,51.7,1871.0,1
41003,Benton County,OR,81.0,78040.0,31
42133,York County,PA,70.4,350349.0,339
20183,Smith County,KS,54.2,2841.0,4
47165,Sumner County,TN,58.7,146577.0,174
56015,Goshen County,WY,47.9,10619.0,5
29105,Laclede County,MO,47.8,26892.0,26
21235,Whitley County,KY,56.2,27093.0,72
37197,Yadkin County,NC,60.5,29851.0,33
29129,Mercer County,MO,46.0,2753.0,4
17169,Schuyler County,IL,64.6,5535.0,3
72091,Manati Municipio,PR,89.1,30445.0,0
54109,Wyoming County,WV,61.7,16232.0,49
13153,Houston County,GA,62.8,117543.0,81
29033,Carroll County,MO,62.1,6723.0,6
40083,Logan County,OK,42.7,37172.0,36
13269,Taylor County,GA,54.9,6422.0,12
48505,Zapata County,TX,77.0,9491.0,9
19151,Pocahontas County,IA,65.3,5138.0,2
12097,Osceola County,FL,86.5,285151.0,632
19133,Monona County,IA,66.1,6713.0,8
37065,Edgecombe County,NC,60.1,39904.0,28
48019,Bandera County,TX,60.0,19305.0,14
37175,Transylvania County,NC,65.8,29099.0,25
13113,Fayette County,GA,75.8,88100.0,82
55135,Waupaca County,WI,64.2,40690.0,40
28109,Pearl River County,MS,59.8,42971.0,34
13299,Ware County,GA,49.2,27062.0,34
55009,Brown County,WI,76.2,202324.0,199
26013,Baraga County,MI,71.9,6811.0,7
17105,Livingston County,IL,61.1,27965.0,22
12067,Lafayette County,FL,47.6,6744.0,35
54099,Wayne County,WV,64.1,31468.0,36
29073,Gasconade County,MO,61.0,11679.0,17
12017,Citrus County,FL,64.5,127662.0,529
47183,Weakley County,TN,46.0,26917.0,58
30107,Wheatland County,MT,45.1,1673.0,1
38027,Eddy County,ND,64.0,1751.0,0
16051,Jefferson County,ID,57.7,19816.0,12
46065,Hughes County,SD,87.7,13285.0,5
08031,Denver County,CO,84.6,588586.0,311
42015,Bradford County,PA,52.6,47184.0,60
23027,Waldo County,ME,81.1,32498.0,23
19093,Ida County,IA,62.3,5173.0,7
42017,Bucks County,PA,83.3,501426.0,422
47133,Overton County,TN,43.9,17511.0,20
24019,Dorchester County,MD,71.1,25219.0,18
54045,Logan County,WV,65.8,25443.0,36
20099,Labette County,KS,60.0,14924.0,14
55073,Marathon County,WI,70.8,104968.0,116
53075,Whitman County,WA,50.9,42587.0,9
51023,Botetourt County,VA,57.3,27117.0,39
13289,Twiggs County,GA,63.8,6558.0,8
53059,Skamania County,WA,44.1,9867.0,3
13201,Miller County,GA,67.1,4410.0,8
37081,Guilford County,NC,75.1,418240.0,317
38031,Foster County,ND,65.1,2519.0,4
48057,Calhoun County,TX,70.8,16194.0,12
31175,Valley County,NE,40.9,3208.0,4
21009,Barren County,KY,55.9,33861.0,44
37171,Surry County,NC,62.7,56811.0,107
17145,Perry County,IL,60.8,16866.0,15
50003,Bennington County,VT,47.6,28862.0,28
51075,Goochland County,VA,73.9,19672.0,19
40011,Blaine County,OK,58.2,7019.0,12
21191,Pendleton County,KY,53.7,11264.0,10
02170,Matanuska-Susitna Borough,AK,50.2,79732.0,74
41063,Wallowa County,OR,69.4,5855.0,3
21211,Shelby County,KY,54.7,38038.0,38
26077,Kalamazoo County,MI,71.6,208176.0,151
31133,Pawnee County,NE,53.3,2048.0,1
38039,Griggs County,ND,55.9,1761.0,0
31113,Logan County,NE,27.1,573.0,0
48289,Leon County,TX,45.3,13514.0,18
30077,Powell County,MT,51.8,5888.0,4
19011,Benton County,IA,69.7,19698.0,17
31045,Dawes County,NE,43.9,7092.0,-1
27129,Renville County,MN,66.6,11162.0,6
17147,Piatt County,IL,71.4,12738.0,7
12101,Pasco County,FL,68.6,441832.0,1154
12009,Brevard County,FL,74.6,492787.0,1254
42075,Lebanon County,PA,67.6,109639.0,128
48233,Hutchinson County,TX,45.7,15631.0,28
21161,Mason County,KY,62.3,13123.0,27
21185,Oldham County,KY,67.1,49858.0,34
72019,Barranquitas Municipio,PR,87.1,21866.0,0
55078,Menominee County,WI,95.0,3041.0,4
29011,Barton County,MO,42.1,9029.0,10
46043,Douglas County,SD,69.0,2160.0,2
40033,Cotton County,OK,61.0,4411.0,9
21221,Trigg County,KY,57.6,11548.0,15
23013,Knox County,ME,93.7,32783.0,20
32027,Pershing County,NV,41.6,5635.0,2
54035,Jackson County,WV,62.4,22529.0,28
26111,Midland County,MI,69.3,65480.0,54
37019,Brunswick County,NC,74.6,121795.0,87
13013,Barrow County,GA,49.8,61820.0,56
48021,Bastrop County,TX,71.7,66216.0,49
24031,Montgomery County,MD,95.0,808321.0,350
13209,Montgomery County,GA,42.7,7342.0,8
37183,Wake County,NC,86.5,849055.0,252
35011,De Baca County,NM,63.5,1357.0,3
31031,Cherry County,NE,43.5,4352.0,5
12117,Seminole County,FL,70.5,373628.0,601
17149,Pike County,IL,51.4,12055.0,10
46117,Stanley County,SD,74.6,2316.0,5
29089,Howard County,MO,52.5,7816.0,11
19019,Buchanan County,IA,67.0,15684.0,16
42097,Northumberland County,PA,68.4,73081.0,78
19161,Sac County,IA,66.0,7509.0,8
53003,Asotin County,WA,50.1,18058.0,19
51185,Tazewell County,VA,51.7,32756.0,58
55065,Lafayette County,WI,72.4,12679.0,11
38059,Morton County,ND,56.1,24114.0,11
48143,Erath County,TX,46.1,33869.0,15
18023,Clinton County,IN,61.9,23948.0,48
38079,Rolette County,ND,86.7,9401.0,7
19089,Howard County,IA,65.0,6875.0,12
13125,Glascock County,GA,41.4,2328.0,4
17127,Massac County,IL,51.0,10796.0,13
50021,Rutland County,VT,77.1,47973.0,39
05003,Ashley County,AR,60.4,15259.0,15
38049,McHenry County,ND,52.6,4380.0,3
01123,Tallapoosa County,AL,46.7,32134.0,37
55121,Trempealeau County,WI,80.0,22212.0,12
54101,Webster County,WV,56.3,6536.0,7
46073,Jerauld County,SD,63.7,1539.0,1
41009,Columbia County,OR,71.5,41479.0,38
41033,Josephine County,OR,59.2,70421.0,88
51001,Accomack County,VA,86.7,25626.0,25
51049,Cumberland County,VA,43.0,8051.0,8
13265,Taliaferro County,GA,58.1,1278.0,0
46127,Union County,SD,63.9,12054.0,5
28101,Newton County,MS,67.5,15708.0,15
29149,Oregon County,MO,39.1,8170.0,10
35003,Catron County,NM,52.1,3113.0,10
19129,Mills County,IA,66.9,11613.0,14
13309,Wheeler County,GA,30.0,6524.0,3
13255,Spalding County,GA,50.4,51061.0,86
01099,Monroe County,AL,52.5,16360.0,15
17073,Henry County,IL,69.4,38104.0,26
48249,Jim Wells County,TX,67.9,29414.0,29
48163,Frio County,TX,84.3,15583.0,16
51121,Montgomery County,VA,50.5,83465.0,38
40153,Woodward County,OK,47.7,15345.0,24
31019,Buffalo County,NE,49.4,38080.0,45
47011,Bradley County,TN,51.1,84468.0,106
48135,Ector County,TX,56.0,115893.0,139
01045,Dale County,AL,58.9,37984.0,40
20049,Elk County,KS,42.9,1950.0,5
20041,Dickinson County,KS,68.6,14180.0,24
51135,Nottoway County,VA,51.2,12270.0,23
48329,Midland County,TX,55.9,126328.0,89
01081,Lee County,AL,47.6,129821.0,75
19041,Clay County,IA,63.1,12375.0,7
22079,Rapides Parish,LA,61.9,97737.0,99
38061,Mountrail County,ND,52.3,7637.0,5
19103,Johnson County,IA,79.9,121138.0,39
18111,Newton County,IN,39.7,11065.0,13
41001,Baker County,OR,84.8,12927.0,14
16043,Fremont County,ID,56.5,9869.0,10
17181,Union County,IL,68.0,13142.0,14
18121,Parke County,IN,50.1,13277.0,16
29111,Lewis County,MO,43.1,7617.0,13
16041,Franklin County,ID,60.5,9507.0,3
37077,Granville County,NC,74.4,48058.0,11
40137,Stephens County,OK,59.1,33209.0,52
54015,Clay County,WV,66.4,6623.0,21
17065,Hamilton County,IL,48.6,6343.0,6
26093,Livingston County,MI,70.3,151981.0,117
24047,Worcester County,MD,82.2,43376.0,31
13295,Walker County,GA,51.5,54746.0,78
27047,Freeborn County,MN,67.9,23667.0,27
72063,Gurabo Municipio,PR,76.7,38282.0,0
38075,Renville County,ND,47.9,1802.0,0
20201,Washington County,KS,65.6,4182.0,6
29181,Ripley County,MO,37.3,10260.0,9
22067,Morehouse Parish,LA,57.5,18848.0,16
38097,Traill County,ND,64.8,6205.0,5
20069,Gray County,KS,60.8,4265.0,-1
41047,Marion County,OR,74.7,263189.0,211
44005,Newport County,RI,82.0,68392.0,38
26063,Huron County,MI,64.5,25035.0,27
55087,Outagamie County,WI,75.2,144062.0,115
39061,Hamilton County,OH,73.5,630410.0,351
37009,Ashe County,NC,64.2,22479.0,26
27051,Grant County,MN,66.1,4623.0,0
25015,Hampshire County,MA,70.5,137637.0,89
19037,Chickasaw County,IA,67.8,9143.0,9
51035,Carroll County,VA,38.9,24490.0,38
37059,Davie County,NC,68.6,33901.0,28
16019,Bonneville County,ID,68.6,82945.0,44
18103,Miami County,IN,50.4,28001.0,39
17165,Saline County,IL,59.0,18467.0,23
47127,Moore County,TN,26.5,5234.0,8
48293,Limestone County,TX,46.1,18276.0,14
12085,Martin County,FL,72.6,134916.0,295
